row_no,run_id,ingest_ts_utc,node_id,node_name_zh,validation_method,triggers_at_write,significance_at_write,verdict_reason_at_write,triage,node_latest_verdict,data_evidence,suggested_batch,note
11,VAL-20260912-070605,2026-09-11 23:06:10,TDM-E-L4-10,订单生命周期状态机,exec_quality,4,insufficient_samples,insufficient_samples,可考,pending,bt-fw产物D后(2026-09-09)fill=1467>=30;decision_price+commission 1467/1467;runner batch=L4现成,D1(决赛前),
12,VAL-20260912-070605,2026-09-11 23:06:10,TDM-E-L4-11,部分成交与撤改处理,exec_quality,4,insufficient_samples,insufficient_samples,可考,pending,bt-fw产物D后(2026-09-09)fill=1467>=30;decision_price+commission 1467/1467;runner batch=L4现成,D1(决赛前),
13,VAL-20260912-070605,2026-09-11 23:06:10,TDM-E-L4-12,订单级预检,exec_quality,4,insufficient_samples,insufficient_samples,可考,pending,bt-fw产物D后(2026-09-09)fill=1467>=30;decision_price+commission 1467/1467;runner batch=L4现成,D1(决赛前),
14,VAL-20260912-070605,2026-09-11 23:06:10,TDM-E-L4-13,执行容灾对账,exec_quality,4,insufficient_samples,insufficient_samples,可考,pending,bt-fw产物D后(2026-09-09)fill=1467>=30;decision_price+commission 1467/1467;runner batch=L4现成,D1(决赛前),
15,VAL-20260912-070605,2026-09-11 23:06:10,TDM-E-L4-14,执行成本反馈与选型回写,exec_quality,4,insufficient_samples,insufficient_samples,可考,pending,bt-fw产物D后(2026-09-09)fill=1467>=30;decision_price+commission 1467/1467;runner batch=L4现成,D1(决赛前),
16,VAL-20260912-070622,2026-09-11 23:06:27,TDM-X-FLOW,输出离场信号,exit_counterfactual,2,insufficient_samples,insufficient_samples,需裁定,pending,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,D4(决赛后第一批),
17,VAL-20260912-070622,2026-09-11 23:06:27,TDM-X-R1,应急保命,exit_counterfactual,2,insufficient_samples,insufficient_samples,需裁定,pending,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,D4(决赛后第一批),
18,VAL-20260912-070622,2026-09-11 23:06:27,TDM-X-R1-01,熔断分级判定,exit_counterfactual,2,insufficient_samples,insufficient_samples,需裁定,pending,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,D4(决赛后第一批),
19,VAL-20260912-070622,2026-09-11 23:06:27,TDM-X-R1-02,熔断期减仓与持仓处置,exit_counterfactual,2,insufficient_samples,insufficient_samples,需裁定,pending,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,D4(决赛后第一批),
20,VAL-20260912-070622,2026-09-11 23:06:27,TDM-X-R1-03,护盘资产定向加仓白名单,exit_counterfactual,2,insufficient_samples,insufficient_samples,需裁定,pending,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,D4(决赛后第一批),
21,VAL-20260912-070622,2026-09-11 23:06:27,TDM-X-S1,卖出信号收集评分,exit_counterfactual,2,insufficient_samples,insufficient_samples,需裁定,pending,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,D4(决赛后第一批),
22,VAL-20260912-070622,2026-09-11 23:06:27,TDM-X-S1-01,信号收集与六桶分类,exit_counterfactual,2,insufficient_samples,insufficient_samples,需裁定,pending,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,D4(决赛后第一批),
23,VAL-20260912-070622,2026-09-11 23:06:27,TDM-X-S1-02,止损族判定,exit_counterfactual,2,insufficient_samples,insufficient_samples,需裁定,pending,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,D4(决赛后第一批),
24,VAL-20260912-070622,2026-09-11 23:06:27,TDM-X-S1-03,止盈族判定,exit_counterfactual,2,insufficient_samples,insufficient_samples,需裁定,pending,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,D4(决赛后第一批),
25,VAL-20260912-070622,2026-09-11 23:06:27,TDM-X-S1-04,破位与情绪退潮信号,exit_counterfactual,2,insufficient_samples,insufficient_samples,需裁定,pending,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,D4(决赛后第一批),
26,VAL-20260912-070622,2026-09-11 23:06:27,TDM-X-S1-05,信号融合与紧迫度评分,exit_counterfactual,2,insufficient_samples,insufficient_samples,需裁定,pending,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,D4(决赛后第一批),
27,VAL-20260912-070622,2026-09-11 23:06:27,TDM-X-S1-06,强制清仓绕过通道,exit_counterfactual,2,insufficient_samples,insufficient_samples,需裁定,pending,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,D4(决赛后第一批),
28,VAL-20260912-070622,2026-09-11 23:06:27,TDM-X-S2,离场执行,exit_counterfactual,2,insufficient_samples,insufficient_samples,需裁定,pending,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,D3(裁定R-A后),口径可解:改挂exec_quality(registry applies_to已含X流执行)即可考
29,VAL-20260912-070622,2026-09-11 23:06:27,TDM-X-S2-01,执行方式路由,exit_counterfactual,2,insufficient_samples,insufficient_samples,需裁定,pending,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,D3(裁定R-A后),本行被同日17:08成本批exec_quality行覆盖口径;节点按成本批=可考
30,VAL-20260912-070622,2026-09-11 23:06:27,TDM-X-S2-02,T+1与涨跌停约束,exit_counterfactual,2,insufficient_samples,insufficient_samples,需裁定,pending,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,D3(裁定R-A后),口径可解:改挂exec_quality(registry applies_to已含X流执行)即可考
31,VAL-20260912-070622,2026-09-11 23:06:27,TDM-X-S2-03,执行时段路由,exit_counterfactual,2,insufficient_samples,insufficient_samples,需裁定,pending,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,D3(裁定R-A后),口径可解:改挂exec_quality(registry applies_to已含X流执行)即可考
32,VAL-20260912-070622,2026-09-11 23:06:27,TDM-X-S2-04,本地条件单管理,exit_counterfactual,2,insufficient_samples,insufficient_samples,需裁定,pending,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,D3(裁定R-A后),口径可解:改挂exec_quality(registry applies_to已含X流执行)即可考
33,VAL-20260912-070622,2026-09-11 23:06:27,TDM-X-S2-05,分批止盈执行,exit_counterfactual,2,insufficient_samples,insufficient_samples,需裁定,pending,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,D3(裁定R-A后),口径可解:改挂exec_quality(registry applies_to已含X流执行)即可考
34,VAL-20260912-070622,2026-09-11 23:06:27,TDM-X-S2-06,卖出闭环与退出效率,exit_counterfactual,2,insufficient_samples,insufficient_samples,需裁定,pending,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,D3(裁定R-A后),口径可解:改挂exec_quality(registry applies_to已含X流执行)即可考
35,VAL-P0-20260912-163755-002,2026-09-12 08:37:56,TDM-E-L1-AGG,市场状态判定,agg_discrimination,1809,insufficient_samples,insufficient_samples,已闭合,valid,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,无(节点已valid),裁定#230风险口径行(VAL-P0-20260914-004029-002)已覆盖节点最新态;append-only历史行
36,VAL-P0-20260912-164116-002,2026-09-12 08:41:18,TDM-E-L1-AGG,市场状态判定,agg_discrimination,1809,ok,discrimination_below_threshold,已闭合,valid,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,无(节点已valid),裁定#230风险口径行(VAL-P0-20260914-004029-002)已覆盖节点最新态;append-only历史行
37,VAL-P0-20260912-170843-003,2026-09-12 09:08:48,TDM-E-L4-09,执行硬约束,exec_quality,4,insufficient_samples,insufficient_samples,可考,pending,同上fill源;CST-ASTOCK-001(active)/CST-T0-001(candidate)费率在库;阈值已冻结(BT-P0-003),D2(决赛前),
38,VAL-P0-20260912-170843-003,2026-09-12 09:08:48,TDM-P-P2-01,做T资格与成本前置,exec_quality,4,insufficient_samples,insufficient_samples,可考,pending,同上fill源;CST-ASTOCK-001(active)/CST-T0-001(candidate)费率在库;阈值已冻结(BT-P0-003),D2(决赛前),
39,VAL-P0-20260912-170843-003,2026-09-12 09:08:48,TDM-P-P2-03,做T闭环与成功判定,exec_quality,4,insufficient_samples,insufficient_samples,可考,pending,同上fill源;CST-ASTOCK-001(active)/CST-T0-001(candidate)费率在库;阈值已冻结(BT-P0-003),D2(决赛前),
40,VAL-P0-20260912-170843-003,2026-09-12 09:08:48,TDM-X-S2-01,执行方式路由,exec_quality,4,insufficient_samples,insufficient_samples,可考,pending,同上fill源;CST-ASTOCK-001(active)/CST-T0-001(candidate)费率在库;阈值已冻结(BT-P0-003),D2(决赛前),
41,VAL-P0-20260914-001859-002,2026-09-13 16:19:00,TDM-E-L1-AGG,市场状态判定,agg_discrimination,2229,ok,discrimination_below_threshold,已闭合,valid,卖出fill D后=858>=30但对照缺失:ablation.py机制在而sell provider零实现+消融回放须协议备忘录s12 Owner放行,无(节点已valid),裁定#230风险口径行(VAL-P0-20260914-004029-002)已覆盖节点最新态;append-only历史行
