entry_id,pattern,cell,p_ex10_pct,p_t10,engine_impl,authority_def,deviation,evidence_level,sources,fix_ticket
PAT-CANDLE-030,Three Black Crows 三只乌鸦,向下,+1.78,+4.8,"TA-Lib CDL3BLACKCROWS: 前一蜡烛为白(弱代理)+三连降黑体+各开在前实体内+极短下影; 无真实趋势检查(仅要求前一日白色, 不要求涨幅)",三只乌鸦必须出现在上涨/advance之后(ChartSchool); 三连长黑逐级低开低收,material-wrong,L1+L2,ta_CDL3BLACKCROWS.c引文; ChartSchool,"P实测n=1308且prev20=-8.16%: 事件天然落在暴跌后, 反向+1.78%=超跌反弹污染; 加'前20日上涨'过滤重考(任务B已执行)"
PAT-CANDLE-059,Hikkake,向上,-0.33,-19.1,"TA-Lib CDLHIKKAKE原样: 母bar+内包bar+假突破bar发射+/-100(setup), 3根内收盘穿内包高低再发射+/-200(确认); 本仓scan_candles把out[idx]>0全记'向上'->setup(+100)与确认(+200)混入同一cell, setup占绝对多数",Hikkake假说可交易信号=确认后事件(假突破被反向收复); 未确认setup只是观察点非信号,material-wrong,L1,ta_CDLHIKKAKE.c(确认逻辑3bar/+200引文),只保留+200确认事件重考(任务B已执行)
PAT-CANDLE-059,Hikkake Modified,向上,-0.56,-3.3,TA-Lib CDLHIKKAKEMOD原样; 同setup/确认混入问题,"同Hikkake, 确认后才可交易",material-wrong,L1,ta_CDLHIKKAKE.c同族,同上
PAT-CANDLE-024,Doji Star 十字星,向下/向上,+0.67 / -0.46,+12.1 / -11.3,"TA-Lib CDLDOJISTAR: 长白/黑体+次日十字跳空; 方向仅由第一日阴/阳机械指定(+100=前黑,-100=前白); 无位置检查",十字星方向语义依赖出现位置(上涨末看跌/下跌末看涨); 位置是语义核心,material-wrong,L1+L3,ta_CDLDOJISTAR.c同族; ChartSchool(位置语义),P实测两方向语义翻转(向下cell+0.67%正超额): 无位置时方向标签实为噪声; 加上下文后重考(族内同因)
PAT-CANDLE-013,Spinning Top 纺锤,双向,-0.09 / -0.18,-7.2 / -12.6,TA-Lib CDLSPINNINGTOP原样: 小实体+上下影均长于体; 无上下文,"纺锤=动能衰减暗示, 教材本身定位中性setup, 双向发射与教材中性语义相容",minor,L1+L3,ta_CDLSPINNINGTOP.c同族; Nison(教材定位),无需修; 作为中性setup评估
PAT-CANDLE-014,Marubozu 光头光脚,双向,+0.81 / +0.10,+24.3 / +3.9,TA-Lib CDLMARUBOZU原样(全实体裁); 无上下文,"光头光脚阳/阴线; 教材多置于趋势中作延续信号, 位置为增强而非构成要件",minor,L1+L3,TA-Lib族; Nison,无需修
PAT-CANDLE-015,Closing Marubozu 收盘光头,双向,+0.35 / +0.28,~17,TA-Lib原样; 无上下文,"同上, 形状定义本身无争议",minor,L1+L3,TA-Lib族,无需修
PAT-CANDLE-019,Belt Hold 光脚阳/秃头阴,双向,+0.30 / -0.04,+17.3 / -2.4,"TA-Lib CDLBELTHOLD原样: 长体+无影线, 按体色双向发射; 无上下文",教材belt hold需在下跌/上涨末端(preceding trend); 位置为构成要件但P结果微弱,minor,L1+L2,ta_CDLBELTHOLD.c同族; ChartSchool,低优先: 加末端位置过滤
PAT-CANDLE-016,High-Wave 高波线,双向,-0.06 / -0.21,-3.6 / -10.6,TA-Lib CDLHIGHWAVE原样; 无上下文,"高波线=大幅震荡犹豫, 教材定位中性/反转暗示, 依赖位置",minor,L1+L3,TA-Lib族; Nison,低优先
PAT-CANDLE-077,Tower Bottom 塔形底(手写),向上,+3.60,+167.7,"手写_r_tower_bottom: 单根长下影(下影>=2x实体)+随后两根'收平或收涨'(c>o或c>=昨收); 注释称'低位'但代码无任何低位/趋势检查, 全区间任意位置发射; P榜首+3.60%(t=168)直接对应此规则",Bulkowski塔形底: 先前下跌中的急跌段+横向小实体底座(数根)+等幅陡峭反拉; 三段结构+下跌前提是定义核心(KlineVision/LuxAlgo/Bulkowski框架一致),material-wrong,L1+L2+L3,candlestick_scanner.py _r_tower_bottom(代码); Bulkowski框架(KlineVision/LuxAlgo转述); 细节阈值=模型知识,"P榜首实为'长下影+两根不跌'普适形状的alpha, 非塔形底; 按Bulkowski三段结构重写重考(任务B已执行)"
PAT-CANDLE-076,Tower Top 塔形顶(手写),向下,-3.67,-225.8,镜像_r_tower_top: 长上影+两根'收平或收跌'; 无高位检查,"Bulkowski塔形顶: 急涨+小实体平台+急跌, 须在上涨后",material-wrong,L1+L2+L3,同上,镜像重写重考(任务B已执行)
PAT-CANDLE-068,一阳穿多线(手写),向上,-0.54,-13.9,"手写_r_one_yang_mas: 阳线开<min(MA5,10,20,30)且收>max(MA); MA含当日收盘滚动计算; 无量能条件, 无均线粘合条件",A股用法: 一根放量阳线穿越粘合的多头均线=起涨信号; '放量'与'均线粘合收敛'是社区共识构成要件,material-wrong,L1+L3,candlestick_scanner.py _r_one_yang_mas(代码); A股社区共识=模型知识未引证,加放量(量>=1.5x前5日均量)+粘合(MA间极差<=5%收盘)两条件重考(任务B已执行)
PAT-CANDLE-065,搓揉线(手写),中性,-0.24,-9.9,手写_r_cuoxian: 长上影(>2x体)次日接长下影两根组合; 无趋势位置要求,"搓揉线=上升趋势途中的洗盘组合(上下影反复搓揉), 前提=上升途中; 位置是语义核心",material-wrong(前提缺失; 中性事件影响弱),L1+L3,candlestick_scanner.py _r_cuoxian(代码); A股社区共识=模型知识,加上升前提重考(低优先)
PAT-CANDLE-063,一字涨停板(手写),向上,+9.22,+18.6,h=l=c=o且涨幅>=9.5%(主板口径); prev_close判定,事实型事件定义一致; 创业板/科创板20%宽板未覆盖(_ASHARE_LIMIT_RATIO=0.095仅匹配主板10%),equivalent(附minor: 宽板覆盖缺口),L1+L3,candlestick_scanner.py _r_limit_up_flat(代码); 交易所规则=模型知识,"均值+9.22%vs中位-0.69%=涨停链长尾结构(数据性质), 非定义偏离; 宽板口径补齐进工单"
PAT-CANDLE-064,一字跌停板(手写),向下,-5.45,-7.3,镜像一字涨停; 同9.5%主板口径,同上,equivalent(附minor: 宽板覆盖缺口),L1+L3,同上,同上
PAT-CANDLE-066,天地板(手写),向下,-4.90,-2.5,开>=+9.5%收<=-9.5%(主板口径); 无宽板,事实型事件; 同宽板缺口,equivalent(附minor),L1+L3,candlestick_scanner.py,"注意prev20=+47.7%: 极端选样, 前置涨幅是事件内生条件"
PAT-CANDLE-067,地天板(手写),向下,-6.79,-2.7,"开<=-9.5%收>=+9.5%; 地天板当日从跌停拉到涨停(大阳反转), 引擎direction=向下与语义相反: _r_ditian返回 ((), (m,), ()) 把bull掩码传入bear槽位",地天板=底部反转向上事件; 方向标签应为向上,material-wrong(方向标签bug),L1,"candlestick_scanner.py _r_ditian: return (), (m,), ()","工单: _r_ditian 第2返回槽应为 ((m,), (), ()) 即向上"
PAT-CLL-006,缠论中枢,中性,-0.68,-22.4,"统一引擎缠论腿: 任意3笔重叠=中枢, direction恒中性, 锚=末笔end_bi",缠论中枢方向语义取决于离开段强度(三类买卖点); 裸中枢非预测信号; 引擎作中性事件诚实,minor(语义); 数据分布伪影另列,L1+L3,unified_pattern_engine.py _chanlun_leg(代码); 缠论原著=模型知识,"2021-22占96%=回填/增量扫描窗口不一致伪影, 见管线问题行"
PAT-CHART-004,Double Bottom 双底,向上,+2.23,+156.4,"摆动点对(1.5%容差, 间隔>=5根)+中间收盘峰仅须>底0.5%即发射; anchor=第二底当根bar; 无颈线确认, 无先前下跌前提, 无量能; 中间谷/峰用收盘价而非高低价",ChartSchool双底: 先前数月显著下跌; 两谷约等(3%内)且间隔>=4周; 中间反弹10-20%; 收盘突破颈线(中间峰)形态才算完成; 量能配合突破,material-wrong,L1+L2,unified_pattern_engine.py _classic_leg(代码); ChartSchool Double Bottom Reversal(定义引文),五要件缺三(趋势/幅度/确认); n=57万=任意两邻近低点; 本质考的是超跌反弹(prev20=-2.39%佐证); 按权威五要件重写重考(任务B已执行)
PAT-CHART-001,Double Top 双顶,向下,"未考(prereview判缺数据, 实际已物化59.1万事件)",,与双底镜像: _classic_leg双峰+中间谷<0.5%即发射; 无确认无前提,ChartSchool双顶镜像: 先前上涨+两峰约等+中间回落+颈线(中间谷)收盘破位确认,material-wrong; 且prereview'缺数据'判定过时(事件表实存),L1+L2,unified_pattern_engine.py; ChartSchool; prereview.csv,纳入重考池; prereview状态行需刷新
PAT-CHART-002,Head and Shoulders Top 头肩顶,向下,-0.33,-5.2,"三峰(头最高, 两肩3%对称)+颈线=两谷低者+60根内收盘破线确认(确认机制与教材一致); 无先前上涨前提",头肩顶必须出现在上涨后(ChartSchool); 颈线突破确认,material-wrong(缺趋势前提; 确认正确),L1+L2,unified_pattern_engine.py _classic2_leg(代码); ChartSchool H&S,"prev20=-8.18%: 形态在深跌后才识别到, 方向语义被前置下跌稀释; 加前提重考(低优先)"
PAT-CHART-016,Head and Shoulders Bottom 头肩底,向上,+0.20,+2.6,镜像头肩底; 同缺前提,头肩底须在下跌后,material-wrong(缺趋势前提; 确认正确),L1+L2,同上,同上
PAT-CHART-017,Triple Top 三重顶,向下,-0.23,-2.3,三峰等高(1.5%容差)+颈线收盘确认; 无趋势前提,三重顶同头肩顶须在上涨后,material-wrong(缺趋势前提),L1+L2,unified_pattern_engine.py; ChartSchool,同上
PAT-CHART-018,Triple Bottom 三重底,向上,+0.10,+0.8,镜像; 同缺前提,三重底须在下跌后,material-wrong(缺趋势前提),L1+L2,同上,同上
PAT-CHART-005,Ascending Triangle 上升三角形,向上,-0.05,-0.8,"classic3腿: 两点摆动边界, 平顶+升底+收敛; 收盘确认搜索无horizon上限(搜到序列尾, 锚可漂移很远); 无量能",上升三角=先前上涨中的持续形态(旗杆前提)+水平阻力多次测试+突破放量; 突破确认,material-wrong,L1+L2,unified_pattern_engine.py _classic3_leg(代码); ChartSchool triangles,prev20=+12.25%: 事件在已大涨后发射; 无确认期限上限使锚漂移; 加horizon+前提重考
PAT-CHART-006,Descending Triangle 下降三角形,向下,+0.08,+1.8,同classic3; 无horizon; 无量能,先前下跌中的持续形态+破位确认,material-wrong,L1+L2,同上,同上
PAT-CHART-007,Symmetrical Triangle 对称三角形,双向,-0.25 / +0.25,-4.4 / +6.2,classic3收敛双向突破; 无horizon; 无量能,"对称三角为持续形态, 方向随先前趋势; 教材要求先前趋势存在",material-wrong,L1+L2,同上,"prev20=+19.91/-13.43%: 两方向事件都在巨幅运动后发射, 方向标签与实际趋势无关"
PAT-CHART-008,Rising Wedge 上升楔形,向下,+0.39,+7.8,classic3: 双双上升+收敛; 无horizon; 无趋势前提,上升楔形=上涨途中的看跌反转(教材),material-wrong,L1+L2,同上,prev20=-14.78%: 事件在深跌后才发射
PAT-CHART-009,Falling Wedge 下降楔形,向上,-0.22,-3.8,镜像; 同,下降楔形=下跌途中看涨反转,material-wrong,L1+L2,同上,prev20=+22.25%: 同上镜像
PAT-CHART-015,Rectangle 矩形箱体,双向,-0.01 / +0.14,-0.1 / +2.4,classic3: 平行边界(1.2%容差)+双向收盘确认; 无horizon; 无量能,"矩形=趋势中的持续形态, 突破方向随先前趋势; 教材要求趋势前提+突破确认",material-wrong(缺前提; 结构本身合理),L1+L2,同上; ChartSchool rectangle,低优先
(统一引擎),平台突破/平台跌破,向上/向下,样本仅4/40无法评估,,classic腿: 20根回看振幅<=5%+收盘越界0.1%; A股全市场实测n=4/40=死腿,平台突破是常见持续形态; A股20根5%振幅上限过严(参数失配),material-wrong(参数使腿失效),L1,unified_pattern_engine.py _classic_leg; P study csv,工单: 振幅上限放宽到10-12%或自适应(ATR倍数); 修复前该腿事件无评估价值
(统一引擎),缠论向上/向下笔,向上/向下,,,"任意最近一笔方向即发射(confidence=0.5), 历史全程存在",笔是结构单元非预测信号,minor(语义),L1,unified_pattern_engine.py _chanlun_leg,建议从预测事件集中剔除或仅保留笔终结反转语义
PAT-CANDLE-041,Concealing Baby Swallow 燕子藏巢,(必死),-,-,"TA-Lib CDLCONCEALBABYSWALL是61函数之一, 扫描器全量运行, 事件表实存32条(全向上, 2022-03..2026-09)","该形态本就有行业标准机械口径(TA-Lib); n=32<30功效不足, 但判定理由'无机械识别口径不可信号化'被实现直接证伪",verdict-事实错误(必死判定不成立),L1,candlestick_scanner.py _cdl_functions(); events.parquet实测32条; prereview.csv,prereview状态刷新: 必死->缺数据(功效不足); n积累后可考
PAT-CHART-019,Rounding Top 圆弧顶,(必死),-,-,"引擎无实现, 无事件","Bulkowski有机械识别步骤(弧形拟合格点数/弧深比例); '无机械口径'理由过强, 但本仓确无实现",判死与实现无关成立(无可考事件); 理由强度过强,L1+L2,prereview.csv; Bulkowski框架(KlineVision转述),
PAT-CHART-020,Rounding Bottom 圆弧底,(必死),-,-,引擎无实现,"同圆弧顶, Bulkowski有机械口径",同上,L1+L2,prereview.csv; Bulkowski框架,
PAT-CHART-021,Broadening Formation 扩散形,(必死),-,-,引擎无实现,Bulkowski有机械口径(两条发散趋势线+触点数>=3),同上,L1+L2,prereview.csv; Bulkowski框架,
PAT-CHART-022,Diamond 钻石形,(必死),-,-,引擎无实现,Bulkowski有机械口径(先发散后收敛四触点),同上,L1+L2,prereview.csv; Bulkowski框架,
PAT-CHART-054,Three Peaks Domed House 3PDH,(必死),-,-,引擎无实现,"Bulkowski 3PDH有23阶段结构图式, 半机械可判",同上,L1+L2+L3,prereview.csv; Bulkowski,
PAT-CHART-060,Complex Head and Shoulders 复杂头肩,(必死),-,-,引擎无实现,Bulkowski复杂头肩有机械口径(多肩对称统计),同上,L1+L2,prereview.csv; Bulkowski,
PAT-CHART-065,Broadening Right-Angled Asc,(必死),-,-,引擎无实现,同扩散族机械口径,同上,L1+L2,prereview.csv; Bulkowski,
PAT-TREND-008,Andrew's Pitchfork 安氏叉,(必死),-,-,引擎无实现,"机械作图规则存在(三枢轴+等距平行线), 但枢轴选择主观性高",判死合理(枢轴选择引入自由度),L1+L3,prereview.csv; 模型知识,
PAT-TREND-009,Gann Angle 1x1,(必死),-,-,引擎无实现,斜率定义机械但价格/时间尺度标定主观,判死合理,L1+L3,prereview.csv; 模型知识,
PAT-FIB-001,Fibonacci Retracement 斐波那契回撤,(必死),-,-,引擎无实现,"回撤比率计算完全机械(枢轴+0.236..0.786); '不可信号化'理由错误, 真实难点=枢轴选择主观+比率组合多重检验爆炸",判死与实现无关成立; 理由表述错误,L1+L2,prereview.csv; Fibonacci文献共识,
PAT-FIB-008,Gartley 加特利,(必死),-,-,引擎无实现,"谐波比率规则完全机械(X点回撤0.618/AB=CD等, 文献标准)",同上(理由过强),L1+L2,prereview.csv; 谐波文献,
PAT-FIB-009,Bat 蝙蝠,(必死),-,-,引擎无实现,同谐波族机械比率,同上,L1+L2,prereview.csv; 谐波文献,
PAT-FIB-011,Butterfly 蝴蝶,(必死),-,-,引擎无实现,同谐波族,同上,L1+L2,prereview.csv; 谐波文献,
PAT-FIB-012,Crab 螃蟹,(必死),-,-,引擎无实现,同谐波族,同上,L1+L2,prereview.csv; 谐波文献,
PAT-FIB-015,Cypher 赛弗,(必死),-,-,引擎无实现,同谐波族,同上,L1+L2,prereview.csv; 谐波文献,
PAT-STRUCT-002,Wyckoff Accumulation 威科夫吸筹,(必死),-,-,引擎无实现,"相位判定(semi)机械但阶段语义依赖成交量结构解读, 主观度高",判死合理,L1+L3,prereview.csv; 模型知识,
PAT-ELW-001,Elliott Impulse Wave 艾略特推动浪,(必死),-,-,引擎无实现,波浪计数主观性公认高(无稳定机械口径),判死合理,L1+L3,prereview.csv; 模型知识,
(管线),趋势线/内包日 2026-09集中发射,-,r10全缺,,"增量通道只emit近15日锚事件; 趋势线腿锚=n-1(每日现值), 内包日历史回填缺失->历史分布=扫描运行日分布",形态定义无关; 事件时间分布被扫描管线决定,pipeline-artifact(非定义偏离),L1,pattern_event_job.py _DEFAULT_LOOKBACK_DAYS=15; P report §4.3,JOB-108回补历史; 修复前该类事件禁入考
(管线),缠论中枢2021-22占96%,中性,分年仅2年可判,,回填一次性全窗识别+增量仅emit近锚->长周期结构事件历史断裂,同上,pipeline-artifact,L1,P report §4.3,同上
