library,entry_id,name,class,status,verdict,reason_or_gap,exam_window,signalization,readiness,independence,bonus,priority_score
indicator,IND-MOM-016,SMI,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=16); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-017,FISHER,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=9); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-018,KST,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=45); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-019,CONNORSRSI,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=103); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-020,QQE,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=38); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-021,STC,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=63); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-022,RVGI,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=14); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-023,STOCH,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=9); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-024,AROON,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=14); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-025,AROONOSC,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=14); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-026,BOP,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=16); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-027,PPO,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=26); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-028,APO,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=26); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-029,DX,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=14); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-030,BRAR,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=26); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-031,CR,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=26); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-032,AC,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=38); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-033,FRACTALS,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=2); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-034,ELDER,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=13); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-035,COPPOCK,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=23); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-036,SQUEEZE,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=20); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-037,WAVETREND,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=31); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-001,KDJ,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=9); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-002,RSI,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=24); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-003,WR,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=14); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-004,ROC,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=12); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-005,MTM,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=18); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-006,CMF,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=20); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-007,UOS,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=28); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-008,AO,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=34); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-009,CMO,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=15); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-010,StochRSI,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=27); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-011,BIAS,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=24); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-012,PSY,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=17); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-MOM-013,LWR,momentum,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=15); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","动量族: 因子=指标值截面 rank → top_n 多头, 与 f_mom20 增量 IC 预检后再考",3,1,0,11
indicator,IND-VOL-011,MASSI,volatility,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=25); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","波动族: 指标截面排名(低波多头或波动挤压事件), 与 f_lowvol20 增量预检",3,2,0,13
indicator,IND-VOL-012,PARKINSON,volatility,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=20); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","波动族: 指标截面排名(低波多头或波动挤压事件), 与 f_lowvol20 增量预检",3,2,0,13
indicator,IND-VOL-013,GARMAN_KLASS,volatility,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=20); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","波动族: 指标截面排名(低波多头或波动挤压事件), 与 f_lowvol20 增量预检",3,2,0,13
indicator,IND-VOL-014,ROGERS_SATCHELL,volatility,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=20); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","波动族: 指标截面排名(低波多头或波动挤压事件), 与 f_lowvol20 增量预检",3,2,0,13
indicator,IND-VOL-015,YANG_ZHANG,volatility,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=21); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","波动族: 指标截面排名(低波多头或波动挤压事件), 与 f_lowvol20 增量预检",3,2,0,13
indicator,IND-VOL-001,ATR,volatility,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=15); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","波动族: 指标截面排名(低波多头或波动挤压事件), 与 f_lowvol20 增量预检",3,2,0,13
indicator,IND-VOL-002,BOLL,volatility,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=20); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","波动族: 指标截面排名(低波多头或波动挤压事件), 与 f_lowvol20 增量预检",3,2,0,13
indicator,IND-VOL-003,Keltner,volatility,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=20); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","波动族: 指标截面排名(低波多头或波动挤压事件), 与 f_lowvol20 增量预检",3,2,0,13
indicator,IND-VOL-004,Donchian,volatility,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=20); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","波动族: 指标截面排名(低波多头或波动挤压事件), 与 f_lowvol20 增量预检",3,2,0,13
indicator,IND-VOL-005,STDDEV,volatility,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=20); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","波动族: 指标截面排名(低波多头或波动挤压事件), 与 f_lowvol20 增量预检",3,2,0,13
indicator,IND-VOL-006,BandWidth,volatility,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=20); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","波动族: 指标截面排名(低波多头或波动挤压事件), 与 f_lowvol20 增量预检",3,2,0,13
indicator,IND-VOL-007,PercentB,volatility,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=20); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","波动族: 指标截面排名(低波多头或波动挤压事件), 与 f_lowvol20 增量预检",3,2,0,13
indicator,IND-VOL-008,HistVol,volatility,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=21); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","波动族: 指标截面排名(低波多头或波动挤压事件), 与 f_lowvol20 增量预检",3,2,0,13
indicator,IND-VOLUME-008,VWMA,volume,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=20); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","量能族: 量价确认截面因子(OBV/AD 等), 新信息面=成交量结构",3,2,2,15
indicator,IND-VOLUME-009,ADOSC,volume,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=10); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","量能族: 量价确认截面因子(OBV/AD 等), 新信息面=成交量结构",3,2,2,15
indicator,IND-VOLUME-010,EOM,volume,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=14); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","量能族: 量价确认截面因子(OBV/AD 等), 新信息面=成交量结构",3,2,2,15
indicator,IND-VOLUME-011,KVO,volume,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=55); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","量能族: 量价确认截面因子(OBV/AD 等), 新信息面=成交量结构",3,2,2,15
indicator,IND-VOLUME-012,NVI,volume,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=1); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","量能族: 量价确认截面因子(OBV/AD 等), 新信息面=成交量结构",3,2,2,15
indicator,IND-VOLUME-013,PVI,volume,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=1); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","量能族: 量价确认截面因子(OBV/AD 等), 新信息面=成交量结构",3,2,2,15
indicator,IND-VOLUME-014,FORCE_INDEX,volume,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=13); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","量能族: 量价确认截面因子(OBV/AD 等), 新信息面=成交量结构",3,2,2,15
indicator,IND-VOLUME-001,OBV,volume,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=2); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","量能族: 量价确认截面因子(OBV/AD 等), 新信息面=成交量结构",3,2,2,15
indicator,IND-VOLUME-002,MFI,volume,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=15); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","量能族: 量价确认截面因子(OBV/AD 等), 新信息面=成交量结构",3,2,2,15
indicator,IND-VOLUME-003,VWAP,volume,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=1); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","量能族: 量价确认截面因子(OBV/AD 等), 新信息面=成交量结构",3,2,2,15
indicator,IND-VOLUME-004,VR,volume,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=27); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","量能族: 量价确认截面因子(OBV/AD 等), 新信息面=成交量结构",3,2,2,15
indicator,IND-VOLUME-005,AD,volume,active,值得考,"OHLCV 日频全可算(technical_indicator 表 2019-01 起, warmup=1); 增量IC对基座预检","2020-01..2025-08 (WFA8折 24m/6m, OOS=2024-01+, IS=2020-2023)","量能族: 量价确认截面因子(OBV/AD 等), 新信息面=成交量结构",3,2,2,15
