seq,year,orig_name,rel_path,size_bytes,lines,encoding,has_chinese,platform_features,md5_12,unreadable,normalized_rel
13,2020年度精选策略,13 招行_海天配对策略-改进版.txt,2020年度精选策略\13 招行_海天配对策略-改进版.txt,3737,132,gbk,True,initialize|handle_data|set_benchmark|order_target_value|order_value,243b948b3709,False,normalized\2020年度精选策略\13 招行_海天配对策略-改进版.txt
14,2020年度精选策略,14 抗击熊市的中短期低市值策略.txt,2020年度精选策略\14 抗击熊市的中短期低市值策略.txt,1875,57,gbk,True,initialize|run_daily|order_value|get_fundamentals,376825191613,False,normalized\2020年度精选策略\14 抗击熊市的中短期低市值策略.txt
15,2020年度精选策略,15 基于多期限的选股策略（一）.txt,2020年度精选策略\15 基于多期限的选股策略（一）.txt,7406,224,gbk,True,initialize|run_daily|set_benchmark|order_target_value|get_price,93aa8f5a2bdd,False,normalized\2020年度精选策略\15 基于多期限的选股策略（一）.txt
16,2020年度精选策略,16 投资学作业.txt,2020年度精选策略\16 投资学作业.txt,14856,456,gbk,True,initialize|run_daily|set_benchmark|order_target_value,d46105bf6b37,False,normalized\2020年度精选策略\16 投资学作业.txt
17,2020年度精选策略,17 商品期货截面动量模型，真的靠谱吗？.txt,2020年度精选策略\17 商品期货截面动量模型，真的靠谱吗？.txt,17399,393,gbk,True,initialize|run_daily|run_weekly|run_monthly|set_benchmark,af8dfcb8fd1f,False,normalized\2020年度精选策略\17 商品期货截面动量模型，真的靠谱吗？.txt
18,2020年度精选策略,18 均值回归策略分享.txt,2020年度精选策略\18 均值回归策略分享.txt,12450,380,gbk,True,initialize|run_daily|set_benchmark|order_target_value|order_value|get_price,9c0424f53fe4,False,normalized\2020年度精选策略\18 均值回归策略分享.txt
19,2020年度精选策略,19 招行_海天配对策略（学习招行伊利配对）.txt,2020年度精选策略\19 招行_海天配对策略（学习招行伊利配对）.txt,3716,132,gbk,True,initialize|handle_data|set_benchmark|order_target_value|order_value,842ff6e41276,False,normalized\2020年度精选策略\19 招行_海天配对策略（学习招行伊利配对）.txt
20,2020年度精选策略,20 分钟K线数据重构 ATR自适应通道 请高手来迭代.txt,2020年度精选策略\20 分钟K线数据重构 ATR自适应通道 请高手来迭代.txt,20110,466,gbk,True,initialize|run_daily|set_benchmark,40db376aee73,False,normalized\2020年度精选策略\20 分钟K线数据重构 ATR自适应通道 请高手来迭代.txt
21,2020年度精选策略,21 果核量化出品 -- BIAS_QL乖离率策略指数择时1.0.txt,2020年度精选策略\21 果核量化出品 -- BIAS_QL乖离率策略指数择时1.0.txt,4206,134,gbk,True,initialize|handle_data|before_trading_start|set_benchmark|order_target_value,c72318f2da1c,False,normalized\2020年度精选策略\21 果核量化出品 -- BIAS_QL乖离率策略指数择时1.0.txt
22,2020年度精选策略,22 海龟交易法则升级版---（分钟级回测+合约变更移仓）.txt,2020年度精选策略\22 海龟交易法则升级版---（分钟级回测+合约变更移仓）.txt,12195,275,gbk,True,initialize|run_daily|set_benchmark,5c9ed6c2e5a8,False,normalized\2020年度精选策略\22 海龟交易法则升级版---（分钟级回测+合约变更移仓）.txt
23,2020年度精选策略,23 Principle by Jim Slater 祖鲁法则在A股的实现与改进.txt,2020年度精选策略\23 Principle by Jim Slater 祖鲁法则在A股的实现与改进.txt,22117,488,gbk,True,initialize|handle_data|set_benchmark|order_target_value|order_value|get_price|get_fundamentals,c961432c92a6,False,normalized\2020年度精选策略\23 Principle by Jim Slater 祖鲁法则在A股的实现与改进.txt
24,2020年度精选策略,24 自选策略1.txt,2020年度精选策略\24 自选策略1.txt,14378,454,gbk,True,initialize|run_daily|set_benchmark|order_target_value,f1d915a56856,False,normalized\2020年度精选策略\24 自选策略1.txt
25,2020年度精选策略,25 简单市值轮动策略-学习.txt,2020年度精选策略\25 简单市值轮动策略-学习.txt,2163,69,gbk,True,initialize|run_daily|order_value|get_fundamentals,f3258b0eceac,False,normalized\2020年度精选策略\25 简单市值轮动策略-学习.txt
26,2020年度精选策略,26 向导式-1.txt,2020年度精选策略\26 向导式-1.txt,14143,452,gbk,True,initialize|run_daily|set_benchmark|order_target_value,5e3284032a17,False,normalized\2020年度精选策略\26 向导式-1.txt
27,2020年度精选策略,27 RSRS指标择时（30分钟线）.txt,2020年度精选策略\27 RSRS指标择时（30分钟线）.txt,2450,70,gbk,True,initialize|handle_data|before_trading_start|set_benchmark|order_target_value|order_value,ae23e0cceb75,False,normalized\2020年度精选策略\27 RSRS指标择时（30分钟线）.txt
28,2020年度精选策略,28 收益策略.txt,2020年度精选策略\28 收益策略.txt,14583,457,gbk,True,initialize|run_daily|set_benchmark|order_target_value,4bd0d8556d39,False,normalized\2020年度精选策略\28 收益策略.txt
29,2020年度精选策略,29 KD指标量化交易策略.txt,2020年度精选策略\29 KD指标量化交易策略.txt,2883,88,gbk,True,initialize|run_daily|set_benchmark|order_value,e2e7f033d97c,False,normalized\2020年度精选策略\29 KD指标量化交易策略.txt
30,2020年度精选策略,30 基于LSTM模型预测股票价格走势.txt,2020年度精选策略\30 基于LSTM模型预测股票价格走势.txt,4948,58,gbk,True,initialize|run_daily|set_benchmark|order_value,ca0ee6db6dff,False,normalized\2020年度精选策略\30 基于LSTM模型预测股票价格走势.txt
31,2020年度精选策略,31 低PB价值投资策略分享.txt,2020年度精选策略\31 低PB价值投资策略分享.txt,17676,437,gbk,True,initialize|run_daily|set_benchmark|order_target_value|get_price|get_fundamentals,b9aeb0200c8d,False,normalized\2020年度精选策略\31 低PB价值投资策略分享.txt
32,2020年度精选策略,32 测试策略1.txt,2020年度精选策略\32 测试策略1.txt,14813,458,gbk,True,initialize|run_daily|set_benchmark|order_target_value,22d7be168fb9,False,normalized\2020年度精选策略\32 测试策略1.txt
33,2020年度精选策略,33 买入每个行业市值最大的股票.txt,2020年度精选策略\33 买入每个行业市值最大的股票.txt,45083,1056,gbk,True,initialize|handle_data|run_daily|before_trading_start|after_trading_end|set_benchmark|order_target_value|get_fundamentals,e27c2ad6a1d9,False,normalized\2020年度精选策略\33 买入每个行业市值最大的股票.txt
34,2020年度精选策略,34 成长策略.txt,2020年度精选策略\34 成长策略.txt,14555,456,gbk,True,initialize|run_daily|set_benchmark|order_target_value,aca79475ff10,False,normalized\2020年度精选策略\34 成长策略.txt
35,2020年度精选策略,35 投资学作业——简单多因子选股策略.txt,2020年度精选策略\35 投资学作业——简单多因子选股策略.txt,14666,455,gbk,True,initialize|run_daily|set_benchmark|order_target_value,0875366f605b,False,normalized\2020年度精选策略\35 投资学作业——简单多因子选股策略.txt
36,2020年度精选策略,36 投资学作业——简单多因子选股策略改进.txt,2020年度精选策略\36 投资学作业——简单多因子选股策略改进.txt,14848,460,gbk,True,initialize|run_daily|set_benchmark|order_target_value,69c6514f4f6c,False,normalized\2020年度精选策略\36 投资学作业——简单多因子选股策略改进.txt
37,2020年度精选策略,37 个股止损.txt,2020年度精选策略\37 个股止损.txt,14142,452,gbk,True,initialize|run_daily|set_benchmark|order_target_value,6a58fdc80835,False,normalized\2020年度精选策略\37 个股止损.txt
38,2020年度精选策略,38 一个简单的跟踪聪明钱策略.txt,2020年度精选策略\38 一个简单的跟踪聪明钱策略.txt,8346,247,gbk,True,initialize|handle_data|run_monthly|before_trading_start|set_benchmark|order_target_value,aabe5d623fcc,False,normalized\2020年度精选策略\38 一个简单的跟踪聪明钱策略.txt
39,2020年度精选策略,39 因子分析——利用JoinQuant因子分析模块选取因子并封装为策略.txt,2020年度精选策略\39 因子分析——利用JoinQuant因子分析模块选取因子并封装为策略.txt,1427,47,gbk,True,initialize|handle_data|before_trading_start|set_benchmark|order_target_value|order_value|get_price,ae32579896ed,False,normalized\2020年度精选策略\39 因子分析——利用JoinQuant因子分析模块选取因子并封装为策略.txt
40,2020年度精选策略,40 kdj指标配合accer过滤.txt,2020年度精选策略\40 kdj指标配合accer过滤.txt,3289,95,gbk,True,initialize|before_trading_start|after_trading_end|set_benchmark|order_value,ea66a380bf24,False,normalized\2020年度精选策略\40 kdj指标配合accer过滤.txt
41,2020年度精选策略,41 多因子模型（三）-交易回测.txt,2020年度精选策略\41 多因子模型（三）-交易回测.txt,3556,94,gbk,True,initialize|handle_data|before_trading_start|set_benchmark|order_target_value,cad1c93b5811,False,normalized\2020年度精选策略\41 多因子模型（三）-交易回测.txt
42,2020年度精选策略,42 低估值+TRIX+RSI 低回撤策略.txt,2020年度精选策略\42 低估值+TRIX+RSI 低回撤策略.txt,10197,322,gbk,True,initialize|run_daily|order_value|get_fundamentals,b1ab2a40225a,False,normalized\2020年度精选策略\42 低估值+TRIX+RSI 低回撤策略.txt
43,2020年度精选策略,43 无模型评估的多因子模型.txt,2020年度精选策略\43 无模型评估的多因子模型.txt,4461,107,gbk,True,initialize|run_daily|set_benchmark|order_target_value|get_fundamentals,b13cef3dba2d,False,normalized\2020年度精选策略\43 无模型评估的多因子模型.txt
44,2020年度精选策略,44 新手初来，写了一个价值投资策略.txt,2020年度精选策略\44 新手初来，写了一个价值投资策略.txt,15772,471,gbk,True,initialize|run_daily|set_benchmark|order_target_value,3238a5ce80c8,False,normalized\2020年度精选策略\44 新手初来，写了一个价值投资策略.txt
45,2020年度精选策略,45 布林带策略.txt,2020年度精选策略\45 布林带策略.txt,3109,102,gbk,True,initialize|run_daily|set_benchmark|order_target_value|order_value,c30a620e114d,False,normalized\2020年度精选策略\45 布林带策略.txt
46,2020年度精选策略,46 Get API 新技能，研究中写策略并回测.txt,2020年度精选策略\46 Get API 新技能，研究中写策略并回测.txt,6670,185,gbk,True,initialize|handle_data|before_trading_start|after_trading_end|order_target_value,053ef7a9432a,False,normalized\2020年度精选策略\46 Get API 新技能，研究中写策略并回测.txt
47,2020年度精选策略,47 次新小盘策略.txt,2020年度精选策略\47 次新小盘策略.txt,14571,457,gbk,True,initialize|run_daily|set_benchmark|order_target_value,8cb17c4ff966,False,normalized\2020年度精选策略\47 次新小盘策略.txt
48,2020年度精选策略,48 再测一支.txt,2020年度精选策略\48 再测一支.txt,3292,95,gbk,True,initialize|before_trading_start|after_trading_end|set_benchmark|order_value,d1e828937339,False,normalized\2020年度精选策略\48 再测一支.txt
49,2020年度精选策略,49 海龟克隆优化.txt,2020年度精选策略\49 海龟克隆优化.txt,15479,390,gbk,True,initialize|run_daily|set_benchmark,17a2ad69ecc1,False,normalized\2020年度精选策略\49 海龟克隆优化.txt
50,2020年度精选策略,50 简单配对交易.txt,2020年度精选策略\50 简单配对交易.txt,5644,152,gbk,True,initialize|handle_data|run_daily|set_benchmark,3736ef346fbb,False,normalized\2020年度精选策略\50 简单配对交易.txt
51,2020年度精选策略,51 HS300--随机森林拐点识别.txt,2020年度精选策略\51 HS300--随机森林拐点识别.txt,30161,809,gbk,True,initialize|handle_data|before_trading_start|after_trading_end|set_benchmark|order_target_value|get_fundamentals,acdf925b742c,False,normalized\2020年度精选策略\51 HS300--随机森林拐点识别.txt
52,2020年度精选策略,52 布林带1.txt,2020年度精选策略\52 布林带1.txt,2614,83,gbk,True,initialize|run_daily|set_benchmark|order_target_value|order_value,c21459b71a42,False,normalized\2020年度精选策略\52 布林带1.txt
53,2020年度精选策略,53 小市值策略.txt,2020年度精选策略\53 小市值策略.txt,14351,452,gbk,True,initialize|run_daily|set_benchmark|order_target_value,74a017fcff13,False,normalized\2020年度精选策略\53 小市值策略.txt
54,2020年度精选策略,54 中长线买入卖出点选择.txt,2020年度精选策略\54 中长线买入卖出点选择.txt,19646,492,gbk,True,initialize|run_daily|set_benchmark|get_price|get_fundamentals,8e908e8202ef,False,normalized\2020年度精选策略\54 中长线买入卖出点选择.txt
55,2020年度精选策略,55 中小板-中证500配对交易.txt,2020年度精选策略\55 中小板-中证500配对交易.txt,3735,132,gbk,True,initialize|handle_data|set_benchmark|order_target_value|order_value,a58b7f5d809c,False,normalized\2020年度精选策略\55 中小板-中证500配对交易.txt
56,2020年度精选策略,56 爱神的箭放声大哭.txt,2020年度精选策略\56 爱神的箭放声大哭.txt,14163,452,gbk,True,initialize|run_daily|set_benchmark|order_target_value,6d5282552594,False,normalized\2020年度精选策略\56 爱神的箭放声大哭.txt
57,2020年度精选策略,57 黄泽森策略.txt,2020年度精选策略\57 黄泽森策略.txt,14587,454,gbk,True,initialize|run_daily|set_benchmark|order_target_value,32434712c440,False,normalized\2020年度精选策略\57 黄泽森策略.txt
58,2020年度精选策略,58 MACD金叉买入，死叉卖出.txt,2020年度精选策略\58 MACD金叉买入，死叉卖出.txt,14674,462,gbk,True,initialize|run_daily|set_benchmark|order_target_value,2e39d6ab7776,False,normalized\2020年度精选策略\58 MACD金叉买入，死叉卖出.txt
59,2020年度精选策略,59 小市值轮动，修改了内容，剔除了停牌股，同时PE要求为正的股票。.txt,2020年度精选策略\59 小市值轮动，修改了内容，剔除了停牌股，同时PE要求为正的股票。.txt,2401,59,gbk,True,initialize|run_daily|order_value|get_price|get_fundamentals,3b3a30899448,False,normalized\2020年度精选策略\59 小市值轮动，修改了内容，剔除了停牌股，同时PE要求为正的股票。.txt
60,2020年度精选策略,60 投资期末作业.txt,2020年度精选策略\60 投资期末作业.txt,15081,465,gbk,True,initialize|run_daily|set_benchmark|order_target_value,699aa1e11647,False,normalized\2020年度精选策略\60 投资期末作业.txt
61,2020年度精选策略,61 向导式策略生成器生成的成长股精选策略.txt,2020年度精选策略\61 向导式策略生成器生成的成长股精选策略.txt,14436,455,gbk,True,initialize|run_daily|set_benchmark|order_target_value,a5ac9cc45ab3,False,normalized\2020年度精选策略\61 向导式策略生成器生成的成长股精选策略.txt
62,2020年度精选策略,62 选股策略.txt,2020年度精选策略\62 选股策略.txt,14973,462,gbk,True,initialize|run_daily|set_benchmark|order_target_value,5dcda1c756db,False,normalized\2020年度精选策略\62 选股策略.txt
63,2020年度精选策略,63 向导式.txt,2020年度精选策略\63 向导式.txt,14291,453,gbk,True,initialize|run_daily|set_benchmark|order_target_value,4da841c734ae,False,normalized\2020年度精选策略\63 向导式.txt
64,2020年度精选策略,64 12年年化34%，Sharpe1.2，银行股轮动.txt,2020年度精选策略\64 12年年化34%，Sharpe1.2，银行股轮动.txt,14736,461,gbk,True,initialize|run_daily|set_benchmark|order_target_value,73002e0a22c6,False,normalized\2020年度精选策略\64 12年年化34%，Sharpe1.2，银行股轮动.txt
65,2020年度精选策略,65 8只基金按PE调仓.txt,2020年度精选策略\65 8只基金按PE调仓.txt,4903,132,gbk,True,initialize|handle_data|run_monthly|set_benchmark|order_target_value|get_fundamentals,31aa67b46e28,False,normalized\2020年度精选策略\65 8只基金按PE调仓.txt
66,2020年度精选策略,66 高于MA10买入低于MA20卖出回测半年收益率20.4%.txt,2020年度精选策略\66 高于MA10买入低于MA20卖出回测半年收益率20.4%.txt,1647,50,gbk,True,initialize|handle_data|set_benchmark|order_value,c7a8ddbab748,False,normalized\2020年度精选策略\66 高于MA10买入低于MA20卖出回测半年收益率20.4%.txt
67,2020年度精选策略,67 多因子回测完整模板（筛选和买卖条件强于‘策略生成器’）.txt,2020年度精选策略\67 多因子回测完整模板（筛选和买卖条件强于‘策略生成器’）.txt,10489,257,gbk,True,initialize|handle_data|before_trading_start|order_target_value|get_price|get_fundamentals,6cc23b6ee353,False,normalized\2020年度精选策略\67 多因子回测完整模板（筛选和买卖条件强于‘策略生成器’）.txt
68,2020年度精选策略,68 板块轮动不动？.txt,2020年度精选策略\68 板块轮动不动？.txt,8054,196,gbk,True,initialize|run_weekly|order_value|get_fundamentals,806b3463b451,False,normalized\2020年度精选策略\68 板块轮动不动？.txt
69,2020年度精选策略,69 阻力支撑相对强度（RSRS）指标择时策略.txt,2020年度精选策略\69 阻力支撑相对强度（RSRS）指标择时策略.txt,2648,74,gbk,True,initialize|handle_data|before_trading_start|set_benchmark|order_target_value|order_value,12286499cb19,False,normalized\2020年度精选策略\69 阻力支撑相对强度（RSRS）指标择时策略.txt
70,2020年度精选策略,70 蓝筹&均线.txt,2020年度精选策略\70 蓝筹&均线.txt,14243,453,gbk,True,initialize|run_daily|set_benchmark|order_target_value,9ce75aa27ce5,False,normalized\2020年度精选策略\70 蓝筹&均线.txt
71,2020年度精选策略,71 【投资学】CAPM单因子回归模型+ROE股票池（含止损）.txt,2020年度精选策略\71 【投资学】CAPM单因子回归模型+ROE股票池（含止损）.txt,8216,230,gbk,True,initialize|handle_data|run_daily|before_trading_start|set_benchmark|order_target_value|get_price|get_fundamentals,4ee92eeb0c98,False,normalized\2020年度精选策略\71 【投资学】CAPM单因子回归模型+ROE股票池（含止损）.txt
72,2020年度精选策略,72 基金定投-沪深300-5年回测.txt,2020年度精选策略\72 基金定投-沪深300-5年回测.txt,5692,146,gbk,True,initialize|run_daily|run_monthly|set_benchmark|order_target_value|order_value|get_fundamentals,8383b37b0a32,False,normalized\2020年度精选策略\72 基金定投-沪深300-5年回测.txt
73,2020年度精选策略,73 跟着港资（北向资金）买A股.txt,2020年度精选策略\73 跟着港资（北向资金）买A股.txt,6531,156,gbk,True,initialize|handle_data|set_benchmark|order_target_value,860a82a4299d,False,normalized\2020年度精选策略\73 跟着港资（北向资金）买A股.txt
74,2020年度精选策略,74 基于沪深300的增强.txt,2020年度精选策略\74 基于沪深300的增强.txt,14657,458,gbk,True,initialize|run_daily|set_benchmark|order_target_value,ca11a1a28636,False,normalized\2020年度精选策略\74 基于沪深300的增强.txt
75,2020年度精选策略,75 财务因子策略.txt,2020年度精选策略\75 财务因子策略.txt,14707,455,gbk,True,initialize|run_daily|set_benchmark|order_target_value,e2826b29007e,False,normalized\2020年度精选策略\75 财务因子策略.txt
76,2020年度精选策略,76 MACD——大盘择时.txt,2020年度精选策略\76 MACD——大盘择时.txt,2104,56,gbk,True,initialize|handle_data|set_universe|order_value,f284270f0ef0,False,normalized\2020年度精选策略\76 MACD——大盘择时.txt
77,2020年度精选策略,77 RSRS大盘择时优化.txt,2020年度精选策略\77 RSRS大盘择时优化.txt,5091,150,gbk,True,initialize|run_daily|set_benchmark|order_value|get_price,d06cab686cef,False,normalized\2020年度精选策略\77 RSRS大盘择时优化.txt
78,2020年度精选策略,78 GFTD第二版.txt,2020年度精选策略\78 GFTD第二版.txt,5187,142,gbk,True,initialize|handle_data|set_benchmark|order_target_value,b37f550ba2af,False,normalized\2020年度精选策略\78 GFTD第二版.txt
79,2020年度精选策略,79 DMI——大盘择时.txt,2020年度精选策略\79 DMI——大盘择时.txt,1972,60,gbk,True,initialize|handle_data|set_benchmark|order_value,7f7e5f935dfc,False,normalized\2020年度精选策略\79 DMI——大盘择时.txt
80,2020年度精选策略,"80 向导式 价值分析(一),成功避开股灾,大盘震荡跌时小涨.txt","2020年度精选策略\80 向导式 价值分析(一),成功避开股灾,大盘震荡跌时小涨.txt",14667,455,gbk,True,initialize|run_daily|set_benchmark|order_target_value,846f0295fa77,False,"normalized\2020年度精选策略\80 向导式 价值分析(一),成功避开股灾,大盘震荡跌时小涨.txt"
81,2020年度精选策略,81 申万行业轮动策略.txt,2020年度精选策略\81 申万行业轮动策略.txt,5742,155,gbk,True,initialize|run_daily|set_benchmark|order_target_value|order_value|get_fundamentals,59605f4683a5,False,normalized\2020年度精选策略\81 申万行业轮动策略.txt
82,2020年度精选策略,82 次新+小市值+KAMA择时 轮动.txt,2020年度精选策略\82 次新+小市值+KAMA择时 轮动.txt,5626,148,gbk,True,initialize|handle_data|run_daily|order_target_value|get_price|get_fundamentals,4daad21e0928,False,normalized\2020年度精选策略\82 次新+小市值+KAMA择时 轮动.txt
83,2020年度精选策略,83 沪深300ETF-1060双均线.txt,2020年度精选策略\83 沪深300ETF-1060双均线.txt,1253,41,gbk,True,initialize|run_daily|set_benchmark|order_value,ea8b60272c03,False,normalized\2020年度精选策略\83 沪深300ETF-1060双均线.txt
84,2020年度精选策略,84 投资策略说明.txt,2020年度精选策略\84 投资策略说明.txt,14866,457,gbk,True,initialize|run_daily|set_benchmark|order_target_value,2810197d9e60,False,normalized\2020年度精选策略\84 投资策略说明.txt
85,2020年度精选策略,85 【第一次玩】我就是要买便宜股系列.txt,2020年度精选策略\85 【第一次玩】我就是要买便宜股系列.txt,7832,192,gbk,True,initialize|run_monthly|set_benchmark|get_fundamentals,e8017cc1adc5,False,normalized\2020年度精选策略\85 【第一次玩】我就是要买便宜股系列.txt
86,2020年度精选策略,86 5日线穿十日线策略（供初学）.txt,2020年度精选策略\86 5日线穿十日线策略（供初学）.txt,1355,40,gbk,True,initialize|handle_data|set_benchmark|order_value,e40a0a1bcda8,False,normalized\2020年度精选策略\86 5日线穿十日线策略（供初学）.txt
87,2020年度精选策略,87 选股策略说明——张燕兰 16318320.txt,2020年度精选策略\87 选股策略说明——张燕兰 16318320.txt,14791,460,gbk,True,initialize|run_daily|set_benchmark|order_target_value,7f75e2081235,False,normalized\2020年度精选策略\87 选股策略说明——张燕兰 16318320.txt
88,2020年度精选策略,88 一位小白编辑的多因子选股策略.txt,2020年度精选策略\88 一位小白编辑的多因子选股策略.txt,14791,457,gbk,True,initialize|run_daily|set_benchmark|order_target_value,ff5f6c3813ed,False,normalized\2020年度精选策略\88 一位小白编辑的多因子选股策略.txt
89,2020年度精选策略,89 test1：简单的多均线择时.txt,2020年度精选策略\89 test1：简单的多均线择时.txt,3397,109,gbk,True,initialize|handle_data|set_benchmark|order_target_value,2e4d39a3f50b,False,normalized\2020年度精选策略\89 test1：简单的多均线择时.txt
90,2020年度精选策略,90 MA均线金叉买入，死叉卖出.txt,2020年度精选策略\90 MA均线金叉买入，死叉卖出.txt,14337,454,gbk,True,initialize|run_daily|set_benchmark|order_target_value,b1ab42050d68,False,normalized\2020年度精选策略\90 MA均线金叉买入，死叉卖出.txt
91,2020年度精选策略,91 Stoch（KDJ）——大盘择时.txt,2020年度精选策略\91 Stoch（KDJ）——大盘择时.txt,2662,66,gbk,True,initialize|handle_data|set_universe|order_value,6485e4cd0844,False,normalized\2020年度精选策略\91 Stoch（KDJ）——大盘择时.txt
92,2020年度精选策略,92 多因子选股策略.txt,2020年度精选策略\92 多因子选股策略.txt,6391,184,gbk,True,initialize|handle_data|before_trading_start|after_trading_end|order_target_value|get_price|get_fundamentals,69fe6ca04e2a,False,normalized\2020年度精选策略\92 多因子选股策略.txt
93,2020年度精选策略,93 RSRS——大盘择时.txt,2020年度精选策略\93 RSRS——大盘择时.txt,5153,141,gbk,True,initialize|run_daily|set_benchmark|order_value|get_price,5efe26d1992e,False,normalized\2020年度精选策略\93 RSRS——大盘择时.txt
94,2020年度精选策略,94 PE和PB策略.txt,2020年度精选策略\94 PE和PB策略.txt,14499,453,gbk,True,initialize|run_daily|set_benchmark|order_target_value,bd42540f86e4,False,normalized\2020年度精选策略\94 PE和PB策略.txt
95,2020年度精选策略,95 资金流策略.txt,2020年度精选策略\95 资金流策略.txt,14799,459,gbk,True,initialize|run_daily|set_benchmark|order_target_value,a3f1f85b037f,False,normalized\2020年度精选策略\95 资金流策略.txt
96,2020年度精选策略,96 沪港两地上市的银行股翻倍策略报告.txt,2020年度精选策略\96 沪港两地上市的银行股翻倍策略报告.txt,1655,58,gbk,True,initialize|run_daily|run_monthly|set_benchmark|order_target_value,94402fbc86f0,False,normalized\2020年度精选策略\96 沪港两地上市的银行股翻倍策略报告.txt
97,2020年度精选策略,97 银行翻倍策略.txt,2020年度精选策略\97 银行翻倍策略.txt,2466,64,gbk,True,initialize|run_monthly|set_benchmark|order_target_value|get_fundamentals,474a5f390f94,False,normalized\2020年度精选策略\97 银行翻倍策略.txt
98,2020年度精选策略,98 机器学习SVM用法示例策略.txt,2020年度精选策略\98 机器学习SVM用法示例策略.txt,3236,111,gbk,True,initialize|run_weekly|set_benchmark|order_target_value|get_price,2b52d7fd293f,False,normalized\2020年度精选策略\98 机器学习SVM用法示例策略.txt
99,2020年度精选策略,99 一个中信证券的向导策略.txt,2020年度精选策略\99 一个中信证券的向导策略.txt,14885,461,gbk,True,initialize|run_daily|set_benchmark|order_target_value,60a9a654f19e,False,normalized\2020年度精选策略\99 一个中信证券的向导策略.txt
