seq,year,orig_name,md5_12,screen
23,2020年度精选策略,23 Principle by Jim Slater 祖鲁法则在A股的实现与改进.txt,c961432c92a6,candidate
24,2020年度精选策略,24 自选策略1.txt,f1d915a56856,candidate
25,2020年度精选策略,25 简单市值轮动策略-学习.txt,f3258b0eceac,candidate
26,2020年度精选策略,26 向导式-1.txt,5e3284032a17,candidate
27,2020年度精选策略,27 RSRS指标择时（30分钟线）.txt,ae23e0cceb75,excluded:intraday
28,2020年度精选策略,28 收益策略.txt,4bd0d8556d39,candidate
29,2020年度精选策略,29 KD指标量化交易策略.txt,e2e7f033d97c,candidate
30,2020年度精选策略,30 基于LSTM模型预测股票价格走势.txt,ca0ee6db6dff,candidate
31,2020年度精选策略,31 低PB价值投资策略分享.txt,b9aeb0200c8d,excluded:futures
32,2020年度精选策略,32 测试策略1.txt,22d7be168fb9,candidate
33,2020年度精选策略,33 买入每个行业市值最大的股票.txt,e27c2ad6a1d9,candidate
34,2020年度精选策略,34 成长策略.txt,aca79475ff10,candidate
35,2020年度精选策略,35 投资学作业——简单多因子选股策略.txt,0875366f605b,candidate
36,2020年度精选策略,36 投资学作业——简单多因子选股策略改进.txt,69c6514f4f6c,candidate
37,2020年度精选策略,37 个股止损.txt,6a58fdc80835,candidate
38,2020年度精选策略,38 一个简单的跟踪聪明钱策略.txt,aabe5d623fcc,candidate
39,2020年度精选策略,39 因子分析——利用JoinQuant因子分析模块选取因子并封装为策略.txt,ae32579896ed,candidate
40,2020年度精选策略,40 kdj指标配合accer过滤.txt,ea66a380bf24,candidate
41,2020年度精选策略,41 多因子模型（三）-交易回测.txt,cad1c93b5811,candidate
42,2020年度精选策略,42 低估值+TRIX+RSI 低回撤策略.txt,b1ab2a40225a,candidate
43,2020年度精选策略,43 无模型评估的多因子模型.txt,b13cef3dba2d,candidate
44,2020年度精选策略,44 新手初来，写了一个价值投资策略.txt,3238a5ce80c8,candidate
45,2020年度精选策略,45 布林带策略.txt,c30a620e114d,candidate
46,2020年度精选策略,46 Get API 新技能，研究中写策略并回测.txt,053ef7a9432a,candidate
47,2020年度精选策略,47 次新小盘策略.txt,8cb17c4ff966,candidate
48,2020年度精选策略,48 再测一支.txt,d1e828937339,candidate
49,2020年度精选策略,49 海龟克隆优化.txt,17a2ad69ecc1,excluded:futures
50,2020年度精选策略,50 简单配对交易.txt,3736ef346fbb,excluded:pairs_hedge
51,2020年度精选策略,51 HS300--随机森林拐点识别.txt,acdf925b742c,candidate
52,2020年度精选策略,52 布林带1.txt,c21459b71a42,candidate
53,2020年度精选策略,53 小市值策略.txt,74a017fcff13,candidate
54,2020年度精选策略,54 中长线买入卖出点选择.txt,8e908e8202ef,candidate
55,2020年度精选策略,55 中小板-中证500配对交易.txt,a58b7f5d809c,excluded:pairs_hedge
56,2020年度精选策略,56 爱神的箭放声大哭.txt,6d5282552594,candidate
57,2020年度精选策略,57 黄泽森策略.txt,32434712c440,candidate
58,2020年度精选策略,58 MACD金叉买入，死叉卖出.txt,2e39d6ab7776,candidate
59,2020年度精选策略,59 小市值轮动，修改了内容，剔除了停牌股，同时PE要求为正的股票。.txt,3b3a30899448,excluded:demo
60,2020年度精选策略,60 投资期末作业.txt,699aa1e11647,candidate
61,2020年度精选策略,61 向导式策略生成器生成的成长股精选策略.txt,a5ac9cc45ab3,candidate
62,2020年度精选策略,62 选股策略.txt,5dcda1c756db,candidate
63,2020年度精选策略,63 向导式.txt,4da841c734ae,candidate
64,2020年度精选策略,64 12年年化34%，Sharpe1.2，银行股轮动.txt,73002e0a22c6,candidate
65,2020年度精选策略,65 8只基金按PE调仓.txt,31aa67b46e28,excluded:futures
66,2020年度精选策略,66 高于MA10买入低于MA20卖出回测半年收益率20.4%.txt,c7a8ddbab748,candidate
67,2020年度精选策略,67 多因子回测完整模板（筛选和买卖条件强于‘策略生成器’）.txt,6cc23b6ee353,candidate
68,2020年度精选策略,68 板块轮动不动？.txt,806b3463b451,candidate
69,2020年度精选策略,69 阻力支撑相对强度（RSRS）指标择时策略.txt,12286499cb19,candidate
70,2020年度精选策略,70 蓝筹&均线.txt,9ce75aa27ce5,candidate
71,2020年度精选策略,71 【投资学】CAPM单因子回归模型+ROE股票池（含止损）.txt,4ee92eeb0c98,candidate
72,2020年度精选策略,72 基金定投-沪深300-5年回测.txt,8383b37b0a32,excluded:fund
73,2020年度精选策略,73 跟着港资（北向资金）买A股.txt,860a82a4299d,candidate
74,2020年度精选策略,74 基于沪深300的增强.txt,ca11a1a28636,candidate
75,2020年度精选策略,75 财务因子策略.txt,e2826b29007e,candidate
76,2020年度精选策略,76 MACD——大盘择时.txt,f284270f0ef0,candidate
77,2020年度精选策略,77 RSRS大盘择时优化.txt,d06cab686cef,candidate
78,2020年度精选策略,78 GFTD第二版.txt,b37f550ba2af,candidate
79,2020年度精选策略,79 DMI——大盘择时.txt,7f7e5f935dfc,candidate
80,2020年度精选策略,"80 向导式 价值分析(一),成功避开股灾,大盘震荡跌时小涨.txt",846f0295fa77,candidate
81,2020年度精选策略,81 申万行业轮动策略.txt,59605f4683a5,candidate
82,2020年度精选策略,82 次新+小市值+KAMA择时 轮动.txt,4daad21e0928,candidate
83,2020年度精选策略,83 沪深300ETF-1060双均线.txt,ea8b60272c03,candidate
84,2020年度精选策略,84 投资策略说明.txt,2810197d9e60,candidate
85,2020年度精选策略,85 【第一次玩】我就是要买便宜股系列.txt,e8017cc1adc5,candidate
86,2020年度精选策略,86 5日线穿十日线策略（供初学）.txt,e40a0a1bcda8,candidate
87,2020年度精选策略,87 选股策略说明——张燕兰 16318320.txt,7f75e2081235,candidate
88,2020年度精选策略,88 一位小白编辑的多因子选股策略.txt,ff5f6c3813ed,candidate
89,2020年度精选策略,89 test1：简单的多均线择时.txt,2e4d39a3f50b,candidate
90,2020年度精选策略,90 MA均线金叉买入，死叉卖出.txt,b1ab42050d68,candidate
91,2020年度精选策略,91 Stoch（KDJ）——大盘择时.txt,6485e4cd0844,candidate
92,2020年度精选策略,92 多因子选股策略.txt,69fe6ca04e2a,candidate
93,2020年度精选策略,93 RSRS——大盘择时.txt,5efe26d1992e,candidate
94,2020年度精选策略,94 PE和PB策略.txt,bd42540f86e4,candidate
95,2020年度精选策略,95 资金流策略.txt,a3f1f85b037f,candidate
96,2020年度精选策略,96 沪港两地上市的银行股翻倍策略报告.txt,94402fbc86f0,candidate
97,2020年度精选策略,97 银行翻倍策略.txt,474a5f390f94,candidate
98,2020年度精选策略,98 机器学习SVM用法示例策略.txt,2b52d7fd293f,excluded:demo
99,2020年度精选策略,99 一个中信证券的向导策略.txt,60a9a654f19e,candidate
100,2022年度精选策略,1.一颗耀眼的星—【回顾2】小市值成长股策略更新—改.txt,9bb1e9bad66c,candidate
101,2022年度精选策略,10.龙头首阴战法改版二.txt,3f97fbbb5ff6,candidate
102,2022年度精选策略,100.【复现】金股组合增强—分析师推荐概率.txt,17c98231093f,candidate
103,2022年度精选策略,11.缠论交易策略.txt,2c5bfdb51ff6,candidate
104,2022年度精选策略,12.全市场选股？7年5倍不择时，回撤30%左右.txt,8a955a32661d,candidate
105,2022年度精选策略,13.【涨停研究三】连板股票收益统计与回测.txt,31b0fb73d6d4,candidate
106,2022年度精选策略,14.为实盘做的更新：分钟级别和盘中止损.txt,94dd3d1d8f21,candidate
107,2022年度精选策略,15.高股息低杠杆小市值轮动策略.txt,cd6b6020732d,excluded:intraday
108,2022年度精选策略,16.ETF轮动策略升级-多类别-低回撤.txt,1be5138d7c24,excluded:futures
109,2022年度精选策略,17.科技与狠活.txt,3e0a60384921,excluded:intraday
110,2022年度精选策略,18.动量ETF轮动-RSRS择时-卡尔曼滤波.txt,306c53777921,candidate
111,2022年度精选策略,19.【复现】高频价量相关性，意想不到的选股因子.txt,dde77a881279,candidate
112,2022年度精选策略,2.ETF动量轮动RSRS择时-魔改3小优化.txt,22e60ed976fb,candidate
113,2022年度精选策略,20.【复现】因子择时？？？.txt,89537e64ae3a,candidate
114,2022年度精选策略,21.行业ETF轮动+择时，15年至今年化收益35%，回撤16%.txt,daeb32379d40,excluded:fund
115,2022年度精选策略,22.菜场大妈选股法.txt,b929bb8ae99a,candidate
116,2022年度精选策略,23.低价小盘简单有效.txt,2783242840a4,excluded:intraday
117,2022年度精选策略,24.宽基ETF动量轮动钝化RSRS择时-回撤小.txt,768359f2a212,candidate
118,2022年度精选策略,25.年初至今4倍，极致的Day Trading，56.8%胜率.txt,71bb525e7516,excluded:hk_us
119,2022年度精选策略,26.近几年一直有效的股票BOLL择时策略.txt,5f3efbfb8db8,excluded:intraday
120,2022年度精选策略,27.中证500指增+CTA，胜率52%盈亏比1.9。不输顶尖私募.txt,508275793244,excluded:futures
121,2022年度精选策略,28.【回顾2】小市值成长股策略更新FROEC-PB-CAP-HL.txt,4d448014df0a,excluded:intraday
122,2022年度精选策略,28.【回顾2】小市值成长股策略更新SG-MS-PEG-HL.txt,12cdd7e89721,excluded:intraday
123,2022年度精选策略,29.【策略.行业轮动】趋势-拥挤-景气度模型看行业轮动.txt,40c22cfc183a,candidate
124,2022年度精选策略,3.截止到21年12月依然有效的小市值适配因子.txt,3e8bbfecef0c,candidate
125,2022年度精选策略,30.【超跌反弹v1.0】3年2.3倍的超跌反弹小牛股.txt,f8faec93ea59,candidate
126,2022年度精选策略,31.《趋势永存》持续16年跑赢大盘的真正靠谱策略.txt,40cdb4447059,candidate
127,2022年度精选策略,"32.追高概率涨停策略, 2022年化350%.txt",058acd16c70a,candidate
128,2022年度精选策略,33.胜率88.9%之君正集团策略-大阳分歧反包.txt,0708750d8d4f,candidate
129,2022年度精选策略,34.【回撤二波2.0】透过一次过拟合的机器学习摸底策略的收益上限.txt,cfd84756bddc,candidate
130,2022年度精选策略,35.自适应量化终极算法2.0 （全新升级).txt,d6dfa459b98d,candidate
131,2022年度精选策略,36.致敬市场(6) ，指数期货贴水.txt,158f70b0206d,excluded:futures
132,2022年度精选策略,37.三阳三阴战法.txt,c23dcb570d44,candidate
133,2022年度精选策略,38.ETF动量轮动RSRS择时-魔改3-北向资金择时-再优化.txt,13847acade93,candidate
134,2022年度精选策略,39.绩优小市值量化君也-模拟交易年化333.75%.txt,21ec55edd6d8,candidate
135,2022年度精选策略,4.集合竞价摸奖策略1.0-致敬2022.txt,3009e3b9051e,candidate
136,2022年度精选策略,40.RSI学习贴.txt,e54eb6bdbd05,excluded:fund
137,2022年度精选策略,41.手把手教你“机器学习-动态多因子选股”(附保姆级教程).txt,5f2c77db7a5f,excluded:demo
138,2022年度精选策略,42.实盘出现的问题和解决办法.txt,117e9c807654,candidate
139,2022年度精选策略,43.ETF动量因子评估.txt,f5441189a865,excluded:pairs_hedge
140,2022年度精选策略,44.！！！最易上手的网格策略v2.0，设置几个参数就可以直接使用.txt,8afda4699b7f,excluded:fund
141,2022年度精选策略,45.真真正正的诚意之作-2021超十倍.txt,e2d666e30a19,candidate
142,2022年度精选策略,46.韶华研究之十二--还算可以的竞价研究.txt,cbc8f2c5669b,candidate
143,2022年度精选策略,47.别人恐惧我贪婪——重视大盘择时.txt,a653bb97503a,candidate
144,2022年度精选策略,48.一种宏观数据的中长线策略，年化15%，最大回撤9%.txt,e8d351a28aa8,excluded:fund
145,2022年度精选策略,49.修改成一创版本.txt,39dbeced0f7b,candidate
146,2022年度精选策略,5.随机森林策略，低换手率，年化近50%.txt,761ba995d9c1,candidate
147,2022年度精选策略,50.ETF动量轮动RSRS择时-V2.1.txt,446d192d3dca,excluded:intraday
148,2022年度精选策略,51.行业反转效应（年化32%回撤8%).txt,735da80d20f4,candidate
149,2022年度精选策略,52.市场宽度——简洁版.txt,30e32c8cffae,candidate
150,2022年度精选策略,53.超跌网格交易大法V1.2：稳健跑赢大盘-年化13%回撤7%.txt,ebdfa4e25669,candidate
151,2022年度精选策略,54.sales_growth今年最优版.txt,b2bd8aaa693f,candidate
152,2022年度精选策略,55.【复现】技术指标形态识别.txt,a4572d674579,excluded:futures
153,2022年度精选策略,56.一创PEG+EBIT+turnover_volatility.txt,9519cb55d6b7,candidate
154,2022年度精选策略,57.别人恐惧我贪婪3——年化20%的股债组合.txt,e3da6fa71af1,candidate
155,2022年度精选策略,58.ETF动量轮动RSRS与北上择时-股债平衡-盘中止损.txt,34dea750b174,excluded:intraday
156,2022年度精选策略,59.年化62%的动量策略.txt,6a6ec8869ddb,candidate
157,2022年度精选策略,6.PEG+成长+小市值+RSRS择时.txt,79ae77fb3af7,candidate
158,2022年度精选策略,60.ETF动量轮动RSRS择时-v2.txt,9c3e57db4230,excluded:intraday
159,2022年度精选策略,61.简单ETF策略，年化97%.txt,5a049724244c,candidate
160,2022年度精选策略,62.【重构】C-VIX 中国版 VIX 编制手册.txt,26504daaec74,candidate
161,2022年度精选策略,63.生猪期货CTA策略.txt,80bb00999bde,excluded:futures
162,2022年度精选策略,64.ETF轮动策略升级-增加盘中止损.txt,e87eac425c7c,excluded:futures
163,2022年度精选策略,65.神级策略：桥水全天候策略-7年最大回撤仅3.5%.txt,013cb4b74559,candidate
164,2022年度精选策略,66.ETF动量轮动MA乖离择时.txt,8a501274d829,candidate
165,2022年度精选策略,67.三因子策略年化21%简单多因子策略框架.txt,0cfd69a71894,candidate
166,2022年度精选策略,68.胜率78%，6年36倍，今年行情依然50%年化.txt,a21c221a02be,candidate
167,2022年度精选策略,69.场内基金定投价值平均增强策略，年化30%+.txt,658d7ff79757,excluded:fund
168,2022年度精选策略,7.致敬经典作品——小兵哥《一致性风险度量》——极速版.txt,980f868e249b,candidate
169,2022年度精选策略,70.（股票交易模板）小市值-EPS-成长因子选股.txt,f6b9581b7b4f,candidate
170,2022年度精选策略,71.期货日内策略三价均线结合ATR指标.txt,f64731452977,excluded:futures
171,2022年度精选策略,72.随机森林 - 多因子模型.txt,796cdaa672f8,candidate
172,2022年度精选策略,73.实现净利润跳空策略.txt,a3cc3db7586e,candidate
173,2022年度精选策略,74.【动量应用V1】12年120倍，根据研报思路调整.txt,259a5854ef9e,candidate
174,2022年度精选策略,75.ETF轮动策略-入门2.0.txt,1e9952c07f3e,candidate
175,2022年度精选策略,76.ETF-控制回撤性能拉满（国债ETF增强).txt,f367356aa7c2,candidate
176,2022年度精选策略,77.龙头弱转强战法.txt,65c6f9a6f19c,candidate
177,2022年度精选策略,78.ffscore选股加rsrs择时.txt,48bf0497cf33,candidate
178,2022年度精选策略,79.实盘一周50%的妖股探测器.txt,b380e94a75f7,excluded:hk_us
179,2022年度精选策略,8.14个月200%，超短线实盘交易策略！无未来函数.txt,4440d07f973f,candidate
180,2022年度精选策略,80.短线策略-2022年两个半月收益45%-无未来函数.txt,2b351fd05d5f,candidate
181,2022年度精选策略,81.低PB小市值低换手策略总结.txt,b6bcb28f7620,candidate
182,2022年度精选策略,82.可转债知识总结.txt,32ce2f1e048b,excluded:cb
183,2022年度精选策略,83.开盘幅度决定日内方向.txt,940a2e1375c5,candidate
184,2022年度精选策略,84.多大规模的基金收益最好？偏股基金规模研究.txt,a662700cb736,excluded:fund
185,2022年度精选策略,85.价值策略重开，再次向Jqz1226致敬.txt,b07cd4615bb1,excluded:fund
186,2022年度精选策略,86.可转债双低策略.txt,96b46a8b211e,excluded:cb
187,2022年度精选策略,87.北上净买入策略.txt,540dec7b2fe4,candidate
188,2022年度精选策略,88.打首板策略，今年收益达到40%，绝无未来函数（必回）.txt,81ad04a56473,candidate
189,2022年度精选策略,89.年化收益55.7%， 超高胜率 0.799.txt,b33eb6099f82,candidate
190,2022年度精选策略,9.分享几个截止2022年3月仍有效的策略.txt,a0b7915e9c6d,candidate
191,2022年度精选策略,90.大师策略——柯林·麦克连成长价值优势投资法.txt,38cceabf3946,candidate
192,2022年度精选策略,91.【复现】特征分布建模择时.txt,4ceec66f61b5,excluded:fund
193,2022年度精选策略,92.利用myTT库整合通达信公式——以“飞鹰优选”选股公式为例.txt,a7dffec9c1f8,excluded:demo
194,2022年度精选策略,93.因子看板多因子模型---由量化课堂多因子模型修改.txt,2df3e13a8386,candidate
195,2022年度精选策略,"94.FoF, all in.txt",7f65df5590d0,candidate
196,2022年度精选策略,95.首席质量因子-Gross Profitabilit（简化版）.txt,6d7d49cd16a6,candidate
197,2022年度精选策略,96.集合竞价量比策略V1.txt,7b2d53da85ce,candidate
198,2022年度精选策略,97.【涨停研究一】具有哪些因子的股票更容易涨停.txt,e2ada56b9738,excluded:intraday
199,2022年度精选策略,98.【漂亮50】“漂亮50”策略复现以及股息率排序函数.txt,70ca674cdf4c,candidate
200,2022年度精选策略,99.计算每日全A市场个股创新高比例(改).txt,28a524413d52,candidate
201,2023年度精选策略,0.7年40倍，模拟超过两年，年化高回撤低.txt,51f57a8e10a5,candidate
202,2023年度精选策略,1.龙头底分型战法-两年23倍.txt,d7cee922d57b,candidate
203,2023年度精选策略,10.一个简单而持续稳定的懒人超额收益策略.txt,e1d490e338ef,candidate
204,2023年度精选策略,11.致敬市场--5 定投ETF之躺平赢.txt,34ff0a729ba3,excluded:fund
205,2023年度精选策略,12.【不含未来！】宽基etf轮动8年50倍年化60%.txt,4302842f46e1,excluded:fund
206,2023年度精选策略,13.胜率65%之缩量分歧反包战法.txt,0dead42c418a,candidate
207,2023年度精选策略,14.2020年 267%年化 13%回撤 上涨趋势策略修改版.txt,ffb25e65491f,candidate
208,2023年度精选策略,15.动量ETF轮动RSRS择时-升级.txt,fe5ea132704b,candidate
209,2023年度精选策略,16.8年13倍的ETF动量轮动策略，有滑点，无未来函数，回撤小！.txt,fe5ea132704b,candidate
210,2023年度精选策略,17.20行代码8年胜率100%躲过了牛年第一场大跌.txt,29eb91dbaf60,candidate
211,2023年度精选策略,18.【复现】FFScore财务模型.txt,0b108593130a,candidate
212,2023年度精选策略,19.人人可躺平16年3400%.txt,ecd0d1bac378,candidate
213,2023年度精选策略,2.多策略融合-80倍-无未来函数.txt,9f2d1977e464,candidate
214,2023年度精选策略,20.北向资金股票轮动-优质策略可直接实盘.txt,d57a0adaef4f,excluded:fund
215,2023年度精选策略,21.截止到21年12月依然有效的小市值适配因子.txt,3e8bbfecef0c,candidate
216,2023年度精选策略,22.简单到发指的股指策略(2013到现在收益10949%).txt,f6856ed59e5e,excluded:futures
217,2023年度精选策略,23.低AH溢价选股.txt,0dc9b17c4882,candidate
218,2023年度精选策略,24.ROE+PB模型的优化.txt,347a7638d04b,candidate
219,2023年度精选策略,25.这个可入得了你们法眼.txt,db0b7d43d56c,candidate
220,2023年度精选策略,26.追涨大师（超额142）.txt,804d9a0e3453,excluded:pairs_hedge
221,2023年度精选策略,27.从相关系数角度探讨etf轮动的可行性.txt,3f57e29567cf,candidate
222,2023年度精选策略,28.F_Score 选股，年化80%+.txt,0f4b2f6ddd35,candidate
223,2023年度精选策略,29.价值成长轮动策略.txt,8bcc925a2091,candidate
224,2023年度精选策略,3.苦咖啡-默默赚钱系列-改.txt,9c0136ec8f42,candidate
225,2023年度精选策略,30.跟着基金报团！！！174% 回撤 7.33%.txt,a8ee5104356a,excluded:fund
226,2023年度精选策略,31.北向Boll带_ETF组合宝付费策略.txt,c2baee64cbff,excluded:fund
227,2023年度精选策略,32.最适合上班族的策略-神奇公式策略.txt,0f9146dcb9e0,candidate
228,2023年度精选策略,33.趋势交易5.0 无择时-2年5倍不是梦.txt,a4543012b464,candidate
229,2023年度精选策略,34.超稳+翻倍，贝塔值只有0.048的期指策略.txt,9c5d1bacd862,excluded:futures
230,2023年度精选策略,35.最简强者恒强策略.txt,46df19434d0e,candidate
231,2023年度精选策略,36.PEG+EBIT对小市值因子的优化.txt,b1fb7e2246dd,candidate
232,2023年度精选策略,37.ETF动量轮动RSRS择时-魔改4-低通滤波.txt,6627072a69c2,candidate
233,2023年度精选策略,38.随机森林策略，低换手率，年化近50%.txt,761ba995d9c1,candidate
234,2023年度精选策略,39.低风险高收益的期货策略.txt,6ec227c6d688,excluded:futures
235,2023年度精选策略,4.8年10倍，回撤小，有滑点！ETF动量简单轮动策略！.txt,4b5b58bda6af,candidate
236,2023年度精选策略,40.再改进可实盘-默默赚钱系列-风险控制-增强版本-V5.0.txt,fdee3cd21d8d,candidate
237,2023年度精选策略,41.大盘拥挤率极速版-180天3秒.txt,8ac101b74625,candidate
238,2023年度精选策略,42.二板排板战法研究.txt,85cd5a3fc01e,candidate
239,2023年度精选策略,43.集合竞价摸奖策略1.0-致敬2022.txt,3009e3b9051e,candidate
240,2023年度精选策略,44.海龟突破系统，19-21年化150，无未来函数和过拟合.txt,ccc2482d6ca3,candidate
241,2023年度精选策略,45.敢于直接实盘的—八仙过海V2.txt,c27cfbb00226,excluded:fund
242,2023年度精选策略,46.年化46%的北向资金+20日涨幅的创业板策略.txt,cefd3e2cc53d,excluded:fund
243,2023年度精选策略,47.动量ETF轮动-RSRS择时-卡尔曼滤波.txt,306c53777921,candidate
244,2023年度精选策略,48.【漂亮50 2.0止损版本】为了降低回撤，加入择时止损模块.txt,74ee6c30d49f,candidate
245,2023年度精选策略,49.【7日趋势】交易策略.txt,76b7330a57c0,candidate
246,2023年度精选策略,5.87.5%胜率之分歧反包二板.txt,2a60c3824cd6,candidate
247,2023年度精选策略,50.缠论交易策略.txt,2c5bfdb51ff6,candidate
248,2023年度精选策略,51.龙头战法之单阳不破.txt,5ae278a6a8da,excluded:intraday
249,2023年度精选策略,52.筹码选股.txt,811eb1437ee7,candidate
250,2023年度精选策略,53.利用聚宽的数据库，研究基金.txt,f0a6c03b5e68,excluded:fund
251,2023年度精选策略,54.ETF轮动策略-入门1.0.txt,2dbd8b7260b7,candidate
252,2023年度精选策略,55.【分享】券商金股组合增强.txt,b10157e17af4,excluded:hk_us
253,2023年度精选策略,56.韶华研究之五-ETF轮动，躺赚，夏普2.txt,5c9d9bf92316,excluded:fund
254,2023年度精选策略,57.韶华研究之四-菲阿里四阶在T+1的短线策略应用.txt,ac48535d3288,candidate
255,2023年度精选策略,58.北向RSRS与布林带择时.txt,7f9882204193,candidate
256,2023年度精选策略,59.可能是最接近实盘的“基本面三角.txt,4d2badcb0ec7,candidate
257,2023年度精选策略,6.21年度6.为了挣点积分自己实盘的策略分享出来.txt,7e37a4e18835,excluded:fund
258,2023年度精选策略,60.抄底神器2.0，低回撤，高成功率，无未来函数.txt,a1d91eca3597,candidate
259,2023年度精选策略,61.分享一个最近两年非常有效的因子.txt,091fee38cd01,candidate
260,2023年度精选策略,62.3年复合200+%收益+超低回撤11%以内，无惧大跌.txt,2c75edd0f2b0,excluded:fund
261,2023年度精选策略,63.A股最强板块动量趋势（最终版）.txt,48ed4870406a,candidate
262,2023年度精选策略,64.韶华研究之七--不可多得的基本面三角.txt,c68ec9bbbbbc,candidate
263,2023年度精选策略,65.PB-POE+双均线--加入jq以来第一个成功的交易策略 一.txt,8d000bf3ccc3,candidate
264,2023年度精选策略,66.基于动量和反转效应的沪深300成分股策略.txt,6cb29d4d9ba8,candidate
265,2023年度精选策略,68.宽基BBI动量追涨，完美避开这波大跌~.txt,4d8fd9a260f3,excluded:fund
266,2023年度精选策略,69.选取向上趋势的股票.txt,57ad7e8d02a4,candidate
267,2023年度精选策略,7.ETF动量轮动RSRS择时-魔改3小优化.txt,22e60ed976fb,candidate
268,2023年度精选策略,70.回踩均线搏反弹，21年来70%，无未来（测试第一弹）.txt,1970782c2adb,candidate
269,2023年度精选策略,71.lightGBM.txt,e94eb22bd903,candidate
270,2023年度精选策略,72.优化了一下宽基etf追涨的策略，值得深入研究.txt,6730d7592f4f,excluded:fund
271,2023年度精选策略,73.MACD多周期共振，精准打击！.txt,fd47fa0e6401,candidate
272,2023年度精选策略,74.勾股神器2代码40行，年化一百点.txt,a99a3193c736,candidate
273,2023年度精选策略,75.机器学习策略分享.txt,d2da6b2acffe,candidate
274,2023年度精选策略,76.半年6.5倍--次新股排板一式.txt,9e33a43f5abc,candidate
275,2023年度精选策略,77.【基金增强思考2.0】优秀基金的持续性与周期的关系密不可分.txt,9cb15b618abb,excluded:fund
276,2023年度精选策略,78.EPS+MS因子的大盘蓝筹策略.txt,d2389c302550,candidate
277,2023年度精选策略,79.过滤两个因子，12年15倍的roa选股500指数增强.txt,eacb974ee5af,candidate
278,2023年度精选策略,8.iAlpha 基金投资策略.txt,d501e2638ada,excluded:fund
279,2023年度精选策略,80.趋与势的量化定义.txt,c4ec6332c07f,candidate
280,2023年度精选策略,81.拥挤率指标-择时大盘顶底-Clone1-第二版.txt,a4c5bb1c87bf,candidate
281,2023年度精选策略,82.势的度量.txt,1991fa2bcdf7,candidate
282,2023年度精选策略,83.韶华研究之一，布林突破+均线金叉，四年五倍.txt,4093d68fe770,candidate
283,2023年度精选策略,84.对 二板排板战法 的部分优化.txt,a6959f1f9eda,candidate
284,2023年度精选策略,85.最新解密--追涨龙头打板策略-适合近期实盘行情.txt,012427c761ec,candidate
285,2023年度精选策略,86.【基本面三角3.0】看过之前策略的就略过吧.txt,bda947c57e42,candidate
286,2023年度精选策略,87.【股指期货】收盘折溢价策略.txt,6f39eb5571be,excluded:futures
287,2023年度精选策略,88.韶华研究之二，顺势而为，年化140.txt,c3c687cc28fc,candidate
288,2023年度精选策略,89.2019年到现在90多倍的新策略.txt,4eaf1fc3a1f4,candidate
289,2023年度精选策略,9.10倍-二板排板战法优化-无未来函数.txt,0eb202eb8ce4,candidate
290,2023年度精选策略,90.一个月轮动股票换仓，内日做T，相对高频交易.txt,86cd71959914,candidate
291,2023年度精选策略,91.致敬市场--4 解析细节.txt,7669a4402221,candidate
292,2023年度精选策略,92.【超跌反弹v1.0】3年2.3倍的超跌反弹小牛股.txt,f8faec93ea59,candidate
