entry_id,name_en,name_zh,class,category,mapped_table_name,rows,first_date,last_date,n_symbols,timeframe,recognition_algorithm,code_path,attribution_note,prereview_reason,backfill_status
PAT-CANDLE-081,Hook Reversal,钩形反转（升/降势）,candlestick_pattern,(a)可补扫,钩形反转,8111,2026-08-31,2026-09-18,3334,daily,rule_based,src/zephyr/signal_ashare/strategy_signal/candlestick_scanner.py,检测器在(K线扫描器)但历史未跑: 仅增量窗 8111行 2026-08-31..2026-09-18 || 补扫后全窗覆盖: 377335行 2021-09-02..2026-09-18 /5709股 (run=pb-2021-09-01-2026-09-19),"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",backfilled
PAT-CANDLE-082,Pivot Point Reversal,枢轴点反转（升/降势）,candlestick_pattern,(a)可补扫,枢轴点反转,7967,2026-08-31,2026-09-18,3120,daily,rule_based,src/zephyr/signal_ashare/strategy_signal/candlestick_scanner.py,检测器在(K线扫描器)但历史未跑: 仅增量窗 7967行 2026-08-31..2026-09-18 || 补扫后全窗覆盖: 312048行 2021-09-02..2026-09-18 /5710股 (run=pb-2021-09-01-2026-09-19),"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",backfilled
PAT-CANDLE-083,Shark-32,鲨鱼 32,candlestick_pattern,(a)可补扫,鲨鱼32,140,2026-08-31,2026-09-18,93,daily,rule_based,src/zephyr/signal_ashare/strategy_signal/candlestick_scanner.py,检测器在(K线扫描器)但历史未跑: 仅增量窗 140行 2026-08-31..2026-09-18 || 补扫后全窗覆盖: 6330行 2021-09-07..2026-09-18 /3755股 (run=pb-2021-09-01-2026-09-19),"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",backfilled
PAT-CHART-001,Double Top,双头,chart_pattern,已覆盖,双顶,767805,2021-09-10,2026-09-16,5698,daily,rule_based,src/zephyr/sell_decision/core/sell_signal_collector.py,预审误判(名称映射断链): 表内 双顶 767805行 2021-09-10..2026-09-16,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-003,Wedge Breakdown,楔形破位,chart_pattern,已覆盖,上升楔形,56764,2021-09-23,2026-09-17,5636,daily,rule_based,src/zephyr/sell_decision/core/sell_signal_collector.py,预审误判(名称映射断链): 表内 上升楔形 56764行 2021-09-23..2026-09-17,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-010,Bull Flag,多头旗形,chart_pattern,(c)待查,,0,,,0,daily,regression,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-011,Bear Flag,空头旗形,chart_pattern,(c)待查,,0,,,0,daily,regression,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-012,Pennant,三角旗,chart_pattern,(c)待查,,0,,,0,daily,regression,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-013,Cup and Handle,杯柄形,chart_pattern,(c)待查,,0,,,0,daily,regression,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-014,Inverse Cup and Handle,倒杯柄形,chart_pattern,(c)待查,,0,,,0,daily,regression,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-023,V-Top,V形顶,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-024,V-Bottom,V形底,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-025,Island Reversal,岛形反转,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-026,Dead Cat Bounce,死猫跳,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-027,Limit-Up Reversal Engulfing (Fanbao),反包涨停,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-028,Double Cannon N-Shape,涨停双响炮,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-029,Golden Pit,黄金坑,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-030,Fragmented Yang Accumulation,碎阳慢涨吸筹,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-031,Low Box Consolidation,低位箱体蓄势,chart_pattern,(c)待查,,0,,,0,daily,regression,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-032,First Board Probe,首板试盘,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-033,Consecutive Limit-Up Ladder,连板梯队结构,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,注册表无 code_path(引擎缺检测器),"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-034,Mild Board Break,断板温和洗盘,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-035,Broken Board Re-Seal,烂板回封,chart_pattern,(b)数据债,,0,,,0,intraday,rule_based,,非日线 timeframe=intraday（分钟起点 2021-09/盘口源缺失）,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-036,Late-Day Sneak Board,尾盘偷袭板,chart_pattern,(b)数据债,,0,,,0,intraday,rule_based,,非日线 timeframe=intraday（分钟起点 2021-09/盘口源缺失）,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-037,TD Sequential Buy Setup,TD 序列买入计数,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,注册表无 code_path(引擎缺检测器),"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-038,TD Sequential Sell Setup,TD 序列卖出计数,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,注册表无 code_path(引擎缺检测器),"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-039,Wolfe Wave,沃尔夫浪,chart_pattern,(c)待查,,0,,,0,daily,regression,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-040,Quasimodo,卡西莫多反转,chart_pattern,(c)待查,,0,,,0,daily,fractal,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-041,Ascending Scallop,上升扇贝,chart_pattern,(c)待查,,0,,,0,daily,regression,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-042,Descending Scallop,下降扇贝,chart_pattern,(c)待查,,0,,,0,daily,regression,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-043,Horn Top,牛角顶,chart_pattern,(c)待查,,0,,,0,weekly,fractal,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-044,Horn Bottom,牛角底,chart_pattern,(c)待查,,0,,,0,weekly,fractal,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-045,Pipe Top,管道顶,chart_pattern,(c)待查,,0,,,0,weekly,rule_based,,注册表无 code_path(引擎缺检测器),"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-046,Pipe Bottom,管道底,chart_pattern,(c)待查,,0,,,0,weekly,rule_based,,注册表无 code_path(引擎缺检测器),"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-047,Bump-and-Run Reversal Top,冲高回撤反转顶,chart_pattern,(c)待查,,0,,,0,daily,regression,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-048,Bump-and-Run Reversal Bottom,冲高回撤反转底,chart_pattern,(c)待查,,0,,,0,daily,regression,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-049,Volatility Contraction Pattern,波动收缩形态,chart_pattern,(c)待查,,0,,,0,daily,regression,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-050,1-2-3 Reversal,一二三反转,chart_pattern,(c)待查,,0,,,0,daily,fractal,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-051,Ross Hook,罗斯钩,chart_pattern,(c)待查,,0,,,0,daily,fractal,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-052,Old Duck Head,老鸭头,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-053,Mid-air Refueling,空中加油,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-055,Three Rising Valleys,三升谷,chart_pattern,(c)待查,,0,,,0,daily,fractal,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-056,Three Falling Peaks,三降峰,chart_pattern,(c)待查,,0,,,0,daily,fractal,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-057,Big W,大W底,chart_pattern,已覆盖,双底,748079,2021-09-10,2026-09-16,5705,weekly,fractal,,预审误判(名称映射断链): 表内 双底 748079行 2021-09-10..2026-09-16,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-058,Big M,大M顶,chart_pattern,已覆盖,双顶,767805,2021-09-10,2026-09-16,5698,weekly,fractal,,预审误判(名称映射断链): 表内 双顶 767805行 2021-09-10..2026-09-16,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-059,Gap Classification,缺口四型（普通/突破/逃逸/衰竭）,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-061,High Tight Flag,高紧旗,chart_pattern,(c)待查,,0,,,0,weekly,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-062,Brooks H2/L2 Two-Legged Pullback,布鲁克斯 H2/L2 两腿回撤计数,chart_pattern,(b)数据债,,0,,,0,intraday,rule_based,,非日线 timeframe=intraday（分钟起点 2021-09/盘口源缺失）,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-063,Measured Move Up,量度上涨,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-064,Measured Move Down,量度下跌,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-069,Adam & Eve Double Bottoms,亚当夏娃双底四变体族,chart_pattern,已覆盖,双底,748079,2021-09-10,2026-09-16,5705,daily,rule_based,,预审误判(名称映射断链): 表内 双底 748079行 2021-09-10..2026-09-16,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-070,Adam & Eve Double Tops,亚当夏娃双顶四变体族,chart_pattern,已覆盖,双顶,767805,2021-09-10,2026-09-16,5698,daily,rule_based,,预审误判(名称映射断链): 表内 双顶 767805行 2021-09-10..2026-09-16,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-071,Ugly Double Bottom,丑陋双底,chart_pattern,已覆盖,双底,748079,2021-09-10,2026-09-16,5705,daily,rule_based,,预审误判(名称映射断链): 表内 双底 748079行 2021-09-10..2026-09-16,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-072,Inverted Dead Cat Bounce,反死猫跳,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-073,Earnings Flag,财报旗形,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-076,2B False Breakout Reversal,2B 假突破反转,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-077,Flat Base,平台基底,chart_pattern,(c)待查,,0,,,0,weekly,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-078,Busted Pattern,失效形态（bust 反向穿越）,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-079,Extended V-Tops/Bottoms,扩展V形（顶/底）,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-080,Ascending and Inverted Scallop,倒置上升扇贝,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CHART-081,Inverted and Descending Scallop,倒置下降扇贝,chart_pattern,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-TREND-001,MA Death Cross,均线死叉,trendline_channel,(c)待查,,0,,,0,daily,rule_based,src/zephyr/sell_decision/core/sell_signal_collector.py,有代码路径但未接入 market_pattern_event 写入链(code_path=src/zephyr/sell_decision/core/sell_signal_collector.py),"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-TREND-004,Ascending Channel,上升通道,trendline_channel,(c)待查,,0,,,0,daily,regression,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-TREND-005,Descending Channel,下降通道,trendline_channel,(c)待查,,0,,,0,daily,regression,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-TREND-006,Horizontal Channel,水平箱体通道,trendline_channel,(c)待查,,0,,,0,daily,regression,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-TREND-007,Golden Cross,均线金叉,trendline_channel,(c)待查,,0,,,0,daily,rule_based,,注册表无 code_path(引擎缺检测器),"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-TREND-011,Speed Resistance Lines,速度阻力线,trendline_channel,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-TREND-012,Gann Swing Chart,江恩摆动图,trendline_channel,(c)待查,,0,,,0,daily,rule_based,,注册表无 code_path(引擎缺检测器),"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-TREND-013,MA Alignment State Classification,均线排列状态分类,trendline_channel,(c)待查,,0,,,0,daily,rule_based,,注册表无 code_path(引擎缺检测器),"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-SR-001,Breakout Failure Detection,压力位突破失败检测,support_resistance,部分覆盖,压力位,25632,2022-01-24,2026-09-18,5428,intraday,rule_based,src/zephyr/sell_decision/core/breakout_failure_detector.py,有数据但窗口/密度存疑: 压力位 25632行 2022-01-24..2026-09-18,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-SR-002,Intraday Breakout/Breakdown,分时突破/破位,support_resistance,(b)数据债,,0,,,0,intraday,rule_based,src/zephyr/signal_ashare/intraday_t0/intraday_buy_sell_point_analyzer.py,非日线 timeframe=intraday（分钟起点 2021-09/盘口源缺失）,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-SR-003,Intraday Stop-Loss Break,分时止损破位,support_resistance,(b)数据债,,0,,,0,intraday,rule_based,src/zephyr/risk/core/ashare_stop_loss_engine.py,非日线 timeframe=intraday（分钟起点 2021-09/盘口源缺失）,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-SR-004,Pivot Points (Classic),经典枢轴点,support_resistance,(b)数据债,,0,,,0,intraday,rule_based,,非日线 timeframe=intraday（分钟起点 2021-09/盘口源缺失）,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-SR-005,Pivot Points (Fibonacci),斐波那契枢轴点,support_resistance,(b)数据债,,0,,,0,intraday,rule_based,,非日线 timeframe=intraday（分钟起点 2021-09/盘口源缺失）,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-SR-006,Volume Profile Support/Resistance,成交量分布支撑阻力,support_resistance,(c)待查,,0,,,0,daily,rule_based,,注册表无 code_path(引擎缺检测器),"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-SR-007,Previous Day High/Low,昨日高低点,support_resistance,(b)数据债,,0,,,0,intraday,rule_based,,非日线 timeframe=intraday（分钟起点 2021-09/盘口源缺失）,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-SR-008,Murrey Math Levels,穆雷数学线,support_resistance,(c)待查,,0,,,0,daily,rule_based,,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-SR-009,Camarilla Pivots,卡玛利拉枢轴,support_resistance,(b)数据债,,0,,,0,intraday,rule_based,,非日线 timeframe=intraday（分钟起点 2021-09/盘口源缺失）,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-SR-010,Support Resistance Polarity Shift,支撑压力互换,support_resistance,(b)数据债,,0,,,0,intraday,rule_based,,非日线 timeframe=intraday（分钟起点 2021-09/盘口源缺失）,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-STRUCT-001,Wyckoff Spring,威科夫弹簧,structure,(c)待查,,0,,,0,daily,rule_based,src/zephyr/regime/features/overlay_features.py,主观/半主观图形(subjectivity=medium)无机械口径,"market_pattern_event 未物化该类型, 待 JOB-108 接线回补",not_applicable
PAT-CLL-001,Chanlun Top Fractal,缠论顶分型,chanlun,(c)待查,,0,,,0,daily,rule_based,,注册表无 code_path(引擎缺检测器),缠论笔/段/中枢算法未接线物化(JOB-108 未覆盖),not_applicable
PAT-CLL-002,Chanlun Bottom Fractal,缠论底分型,chanlun,(c)待查,,0,,,0,daily,rule_based,,注册表无 code_path(引擎缺检测器),缠论笔/段/中枢算法未接线物化(JOB-108 未覆盖),not_applicable
PAT-CLL-003,Chanlun Upward Bi,缠论上升笔,chanlun,已覆盖,缠论向上笔,8711,2021-12-14,2026-09-17,4166,daily,rule_based,,预审误判(名称映射断链): 表内 缠论向上笔 8711行 2021-12-14..2026-09-17,缠论笔/段/中枢算法未接线物化(JOB-108 未覆盖),not_applicable
PAT-CLL-004,Chanlun Downward Bi,缠论下降笔,chanlun,部分覆盖,缠论向下笔,11628,2022-03-11,2026-09-17,5117,daily,rule_based,,有数据但窗口/密度存疑: 缠论向下笔 11628行 2022-03-11..2026-09-17,缠论笔/段/中枢算法未接线物化(JOB-108 未覆盖),backfilled_partial_density_note
